Ligand,stage1,stage2,stage3
fda_0579.pdbqt,11.71 (invalid),,
fda_0580.pdbqt,4.39 (invalid),,
fda_0581.pdbqt,8.00 (invalid),,
fda_0582.pdbqt,-6.65,,
fda_0583.pdbqt,-5.63,,
fda_0584.pdbqt,-5.51,,
fda_0585.pdbqt,-4.92,,
fda_0586.pdbqt,-4.13,,
fda_0587.pdbqt,-4.39,,
fda_0588.pdbqt,-3.26,,
fda_0589.pdbqt,-5.71,,
fda_0590.pdbqt,-5.91,,
fda_0591.pdbqt,-4.66,,
fda_0592.pdbqt,-6.96,,
fda_0593.pdbqt,-6.13,,
fda_0594.pdbqt,-6.25,,
fda_0595.pdbqt,-6.40,,
fda_0596.pdbqt,-0.11,,
fda_0597.pdbqt,2.20 (invalid),,
fda_0598.pdbqt,-5.89,,
fda_0599.pdbqt,-5.81,,
fda_0600.pdbqt,-5.77 (invalid),,
fda_0601.pdbqt,1.05 (invalid),,
fda_0602.pdbqt,0.77 (invalid),,
fda_0603.pdbqt,-5.67,,
fda_0604.pdbqt,-5.16,,
fda_0605.pdbqt,-4.78 (invalid),,
fda_0606.pdbqt,-6.58,,
fda_0607.pdbqt,-5.89,,
fda_0608.pdbqt,-6.36 (invalid),,
fda_0609.pdbqt,-5.92,,
fda_0610.pdbqt,-2.66,,
fda_0611.pdbqt,-5.24,,
fda_0612.pdbqt,-2.04,,
fda_0613.pdbqt,-0.34,,
fda_0614.pdbqt,-6.81,,
fda_0615.pdbqt,-6.51,,
fda_0616.pdbqt,-5.16 (invalid),,
fda_0617.pdbqt,-5.10,,
fda_0618.pdbqt,-3.05,,
fda_0619.pdbqt,-4.83,,
fda_0620.pdbqt,2.22,,
fda_0621.pdbqt,2.77,,
fda_0622.pdbqt,-4.09,,
fda_0623.pdbqt,-4.63 (invalid),,
fda_0624.pdbqt,-5.62,,
fda_0625.pdbqt,-4.59,,
fda_0626.pdbqt,-5.19,,
fda_0627.pdbqt,-5.10 (invalid),,
fda_0628.pdbqt,-5.95,,
fda_0629.pdbqt,-5.53,,
fda_0630.pdbqt,-5.53,,
fda_0631.pdbqt,-6.63,,
fda_0632.pdbqt,-5.49,,
fda_0633.pdbqt,-5.84 (invalid),,
fda_0634.pdbqt,-4.87 (invalid),,
fda_0635.pdbqt,-5.36 (invalid),,
fda_0636.pdbqt,-2.22 (invalid),,
fda_0637.pdbqt,-7.02,,
fda_0638.pdbqt,-5.93,,
fda_0639.pdbqt,-6.61,,
fda_0640.pdbqt,-5.67,,
fda_0641.pdbqt,-5.91,,
fda_0642.pdbqt,-5.88,,
fda_0643.pdbqt,-5.89,,
fda_0644.pdbqt,-6.01,,
fda_0645.pdbqt,-6.77,,
fda_0646.pdbqt,-6.26,,
fda_0647.pdbqt,-5.42 (invalid),,
fda_0648.pdbqt,-5.76 (invalid),,
fda_0649.pdbqt,-6.45 (invalid),,
fda_0650.pdbqt,-2.31 (invalid),,
fda_0651.pdbqt,-2.15,,
fda_0652.pdbqt,-0.16,,
fda_0653.pdbqt,-3.65 (invalid),,
fda_0654.pdbqt,-5.21 (invalid),,
fda_0655.pdbqt,-8.39,-8.47 (invalid),
fda_0656.pdbqt,-5.92,,
fda_0657.pdbqt,-6.23,,
fda_0658.pdbqt,-6.30,,
fda_0659.pdbqt,7.77 (invalid),,
fda_0660.pdbqt,11.06,,
fda_0661.pdbqt,7.63 (invalid),,
fda_0662.pdbqt,7.32 (invalid),,
fda_0663.pdbqt,22.07 (invalid),,
fda_0664.pdbqt,-5.99,,
fda_0665.pdbqt,-6.71,,
fda_0666.pdbqt,-7.66,-7.68,
fda_0667.pdbqt,-7.36,-7.32,
fda_0668.pdbqt,-1.45,,
fda_0669.pdbqt,-5.57,,
fda_0670.pdbqt,-5.65 (invalid),,
fda_0671.pdbqt,-6.24,,
fda_0672.pdbqt,-4.14 (invalid),,
fda_0673.pdbqt,-3.40,,
fda_0674.pdbqt,-4.45,,
fda_0675.pdbqt,-0.84,,
fda_0676.pdbqt,-5.80,,
fda_0677.pdbqt,-2.92,,
fda_0678.pdbqt,-5.99,,
fda_0679.pdbqt,-1.91 (invalid),,
fda_0680.pdbqt,-6.57,,
fda_0681.pdbqt,-6.53 (invalid),,
fda_0682.pdbqt,-6.33,,
fda_0683.pdbqt,-6.38 (invalid),,
fda_0684.pdbqt,-5.86,,
fda_0685.pdbqt,-7.03 (invalid),,
fda_0686.pdbqt,-7.01 (invalid),,
fda_0687.pdbqt,-7.01 (invalid),,
fda_0688.pdbqt,-6.57 (invalid),,
fda_0689.pdbqt,-7.11,,
fda_0690.pdbqt,-2.40,,
fda_0691.pdbqt,-6.35,,
fda_0692.pdbqt,-5.43 (invalid),,
fda_0693.pdbqt,-5.39 (invalid),,
fda_0694.pdbqt,-5.00 (invalid),,
fda_0695.pdbqt,-7.29,-7.29 (invalid),
fda_0696.pdbqt,-4.89,,
fda_0697.pdbqt,-1.61,,
fda_0698.pdbqt,-5.60,,
fda_0699.pdbqt,-6.78 (invalid),,
fda_0700.pdbqt,-1.98,,
fda_0701.pdbqt,0.43,,
fda_0702.pdbqt,-0.69 (invalid),,
fda_0703.pdbqt,-2.75 (invalid),,
fda_0704.pdbqt,-5.68 (invalid),,
fda_0705.pdbqt,-5.46 (invalid),,
fda_0706.pdbqt,-5.26 (invalid),,
fda_0707.pdbqt,-5.44 (invalid),,
fda_0708.pdbqt,-5.46 (invalid),,
fda_0709.pdbqt,-5.49 (invalid),,
fda_0710.pdbqt,-5.46 (invalid),,
fda_0711.pdbqt,-5.92,,
fda_0712.pdbqt,-5.61,,
fda_0713.pdbqt,-5.60 (invalid),,
fda_0714.pdbqt,-5.68 (invalid),,
fda_0715.pdbqt,-6.57,,
fda_0716.pdbqt,-4.78 (invalid),,
fda_0717.pdbqt,-5.97 (invalid),,
fda_0718.pdbqt,-5.62 (invalid),,
fda_0719.pdbqt,-5.77 (invalid),,
fda_0720.pdbqt,-5.62 (invalid),,
fda_0721.pdbqt,-4.36 (invalid),,
fda_0722.pdbqt,-4.58 (invalid),,
fda_0723.pdbqt,-4.39 (invalid),,
fda_0724.pdbqt,-5.95,,
fda_0725.pdbqt,-5.75,,
fda_0726.pdbqt,-6.10,,
fda_0727.pdbqt,-5.94,,
fda_0728.pdbqt,-6.46,,
fda_0729.pdbqt,-6.93,,
fda_0730.pdbqt,-6.51,,
fda_0731.pdbqt,-6.14,,
fda_0732.pdbqt,-7.05,,
fda_0733.pdbqt,-6.89,,
fda_0734.pdbqt,-4.96,,
fda_0735.pdbqt,-4.33,,
fda_0736.pdbqt,-5.05 (invalid),,
fda_0737.pdbqt,-5.96,,
fda_0738.pdbqt,-5.03 (invalid),,
fda_0739.pdbqt,-6.04,,
fda_0740.pdbqt,-7.79,-7.83 (invalid),
fda_0741.pdbqt,-6.01,,
fda_0742.pdbqt,-1.63 (invalid),,
fda_0743.pdbqt,-6.07,,
fda_0744.pdbqt,-3.37,,
fda_0745.pdbqt,-1.91,,
fda_0746.pdbqt,4.09 (invalid),,
fda_0747.pdbqt,6.08,,
fda_0748.pdbqt,-5.77 (invalid),,
fda_0749.pdbqt,-6.09 (invalid),,
fda_0750.pdbqt,25.30 (invalid),,
fda_0751.pdbqt,-4.58,,
fda_0752.pdbqt,-4.74,,
fda_0753.pdbqt,-5.38 (invalid),,
fda_0754.pdbqt,-4.42 (invalid),,
fda_0755.pdbqt,-4.41 (invalid),,
fda_0756.pdbqt,-4.36 (invalid),,
fda_0757.pdbqt,-4.25,,
fda_0758.pdbqt,-4.56,,
fda_0759.pdbqt,-4.65 (invalid),,
fda_0760.pdbqt,-4.68,,
fda_0761.pdbqt,-4.74 (invalid),,
fda_0762.pdbqt,-1.64 (invalid),,
fda_0763.pdbqt,0.20 (invalid),,
fda_0764.pdbqt,0.36 (invalid),,
fda_0765.pdbqt,0.51 (invalid),,
fda_0766.pdbqt,1.92 (invalid),,
fda_0767.pdbqt,4.09 (invalid),,
fda_0768.pdbqt,-5.11,,
fda_0769.pdbqt,-5.35,,
fda_0770.pdbqt,-5.18,,
fda_0771.pdbqt,-5.43,,
fda_0772.pdbqt,-5.21,,
fda_0773.pdbqt,-5.22,,
fda_0774.pdbqt,-4.85,,
fda_0775.pdbqt,-4.83,,
fda_0776.pdbqt,2.96 (invalid),,
fda_0777.pdbqt,2.15 (invalid),,
fda_0778.pdbqt,2.58 (invalid),,
fda_0779.pdbqt,0.13 (invalid),,
fda_0780.pdbqt,-5.32 (invalid),,
fda_0781.pdbqt,-4.29,,
fda_0782.pdbqt,-6.61 (invalid),,
fda_0783.pdbqt,-6.81,,
fda_0784.pdbqt,-6.88,,
fda_0785.pdbqt,-7.87 (invalid),,
fda_0786.pdbqt,64.71 (invalid),,
fda_0787.pdbqt,156.44 (invalid),,
fda_0788.pdbqt,149.86 (invalid),,
fda_0789.pdbqt,156.31 (invalid),,
fda_0790.pdbqt,-6.62 (invalid),,
fda_0791.pdbqt,-7.01 (invalid),,
fda_0792.pdbqt,-6.33 (invalid),,
fda_0793.pdbqt,-6.58 (invalid),,
fda_0794.pdbqt,-6.22 (invalid),,
fda_0795.pdbqt,-7.24,-7.17 (invalid),
fda_0796.pdbqt,-2.85 (invalid),,
fda_0797.pdbqt,-6.08,,
fda_0798.pdbqt,-7.23,-7.21 (invalid),
fda_0799.pdbqt,-5.31 (invalid),,
fda_0800.pdbqt,-4.67,,
fda_0801.pdbqt,-4.74 (invalid),,
fda_0802.pdbqt,-5.34 (invalid),,
fda_0803.pdbqt,-5.38 (invalid),,
fda_0804.pdbqt,-5.68 (invalid),,
fda_0805.pdbqt,-5.39,,
fda_0806.pdbqt,-6.54,,
fda_0807.pdbqt,-5.70,,
fda_0808.pdbqt,-6.67 (invalid),,
fda_0809.pdbqt,-6.05 (invalid),,
fda_0810.pdbqt,-7.77,-7.77 (invalid),
fda_0811.pdbqt,-8.31 (invalid),,
fda_0812.pdbqt,-5.29,,
fda_0813.pdbqt,-5.47,,
fda_0814.pdbqt,-6.88 (invalid),,
fda_0815.pdbqt,-6.03,,
fda_0816.pdbqt,-6.21,,
fda_0817.pdbqt,-7.42,-7.47 (invalid),
fda_0818.pdbqt,-5.24 (invalid),,
fda_0819.pdbqt,-5.08 (invalid),,
fda_0820.pdbqt,-5.34 (invalid),,
fda_0821.pdbqt,-4.95 (invalid),,
fda_0822.pdbqt,-4.86 (invalid),,
fda_0823.pdbqt,-3.69,,
fda_0824.pdbqt,-5.62,,
fda_0825.pdbqt,-5.28 (invalid),,
fda_0826.pdbqt,-5.45 (invalid),,
fda_0827.pdbqt,-6.68,,
fda_0828.pdbqt,-5.21,,
fda_0829.pdbqt,-5.11 (invalid),,
fda_0830.pdbqt,-6.67,,
fda_0831.pdbqt,-6.30,,
fda_0832.pdbqt,-4.06 (invalid),,
fda_0833.pdbqt,-5.22,,
fda_0834.pdbqt,-5.01 (invalid),,
fda_0835.pdbqt,-4.37,,
fda_0836.pdbqt,-6.37,,
fda_0837.pdbqt,-6.23,,
fda_0838.pdbqt,-6.43,,
fda_0839.pdbqt,-5.36,,
fda_0840.pdbqt,-5.91,,
fda_0841.pdbqt,-4.82,,
fda_0842.pdbqt,-5.00 (invalid),,
fda_0843.pdbqt,-4.45,,
fda_0844.pdbqt,-4.29,,
fda_0845.pdbqt,-5.48,,
fda_0846.pdbqt,-5.25,,
fda_0847.pdbqt,4.79 (invalid),,
fda_0848.pdbqt,4.97 (invalid),,
fda_0849.pdbqt,-6.70,,
fda_0850.pdbqt,-5.87,,
fda_0851.pdbqt,-5.32,,
fda_0852.pdbqt,-6.58,,
fda_0853.pdbqt,-6.84,,
fda_0854.pdbqt,-5.57,,
fda_0855.pdbqt,-6.09,,
fda_0856.pdbqt,-6.09,,
fda_0857.pdbqt,-4.22 (invalid),,
fda_0858.pdbqt,-5.51 (invalid),,
fda_0859.pdbqt,-5.68,,
fda_0860.pdbqt,-5.83,,
fda_0861.pdbqt,-5.18 (invalid),,
fda_0862.pdbqt,-4.74 (invalid),,
fda_0863.pdbqt,-5.71 (invalid),,
fda_0864.pdbqt,-5.40 (invalid),,
fda_0865.pdbqt,-1.78,,
fda_0866.pdbqt,-2.39 (invalid),,
fda_0867.pdbqt,-2.71 (invalid),,
fda_0868.pdbqt,-4.45 (invalid),,
fda_0869.pdbqt,-4.93,,
fda_0870.pdbqt,-3.22 (invalid),,
fda_0871.pdbqt,-3.74,,
fda_0872.pdbqt,-3.86,,
fda_0873.pdbqt,-2.21 (invalid),,
fda_0874.pdbqt,-3.74,,
fda_0875.pdbqt,-3.62 (invalid),,
fda_0876.pdbqt,-2.27 (invalid),,
fda_0877.pdbqt,-5.73,,
fda_0878.pdbqt,-5.49,,
fda_0879.pdbqt,-6.53,,
fda_0880.pdbqt,-4.94,,
fda_0881.pdbqt,-5.31,,
fda_0882.pdbqt,1.58 (invalid),,
fda_0883.pdbqt,9.03 (invalid),,
fda_0884.pdbqt,1.33 (invalid),,
fda_0885.pdbqt,10.13 (invalid),,
fda_0886.pdbqt,-4.40 (invalid),,
fda_0887.pdbqt,-5.25,,
fda_0888.pdbqt,-4.52 (invalid),,
fda_0889.pdbqt,-5.79 (invalid),,
fda_0890.pdbqt,-6.60,,
fda_0891.pdbqt,11.41,,
fda_0892.pdbqt,0.06,,
fda_0893.pdbqt,8.93,,
fda_0894.pdbqt,-5.53 (invalid),,
fda_0895.pdbqt,-5.76 (invalid),,
fda_0896.pdbqt,-5.79 (invalid),,
fda_0897.pdbqt,-5.95 (invalid),,
fda_0898.pdbqt,-5.13,,
fda_0899.pdbqt,-5.43,,
fda_0900.pdbqt,-5.65,,
fda_0901.pdbqt,-6.62,,
fda_0902.pdbqt,-3.80,,
fda_0903.pdbqt,-1.87 (invalid),,
fda_0904.pdbqt,-2.86 (invalid),,
fda_0905.pdbqt,-1.18 (invalid),,
fda_0906.pdbqt,-1.15,,
fda_0907.pdbqt,-3.21,,
fda_0908.pdbqt,-0.99 (invalid),,
fda_0909.pdbqt,0.25 (invalid),,
fda_0910.pdbqt,9.47 (invalid),,
fda_0911.pdbqt,12.93 (invalid),,
fda_0912.pdbqt,-7.95,-7.95,
fda_0913.pdbqt,-4.58 (invalid),,
fda_0914.pdbqt,-1.58,,
fda_0915.pdbqt,-4.18,,
fda_0916.pdbqt,-3.80,,
fda_0917.pdbqt,-5.12,,
fda_0918.pdbqt,-6.39,,
fda_0919.pdbqt,-5.83,,
fda_0920.pdbqt,-6.46 (invalid),,
fda_0921.pdbqt,-6.17,,
fda_0922.pdbqt,-6.28,,
fda_0923.pdbqt,-4.25,,
fda_0924.pdbqt,-6.92,,
fda_0925.pdbqt,-0.70 (invalid),,
fda_0926.pdbqt,-5.47,,
fda_0927.pdbqt,-5.91,,
fda_0928.pdbqt,-5.60,,
fda_0929.pdbqt,-6.39,,
fda_0930.pdbqt,-6.91,,
fda_0931.pdbqt,-6.20,,
fda_0932.pdbqt,-6.41,,
fda_0933.pdbqt,-7.23,-7.23,
fda_0934.pdbqt,-6.81,,
fda_0935.pdbqt,-5.58,,
fda_0936.pdbqt,-6.88,,
fda_0937.pdbqt,-6.31,,
fda_0938.pdbqt,-4.93,,
fda_0939.pdbqt,-2.94,,
fda_0940.pdbqt,-3.53,,
fda_0941.pdbqt,-4.21,,
fda_0942.pdbqt,-3.45,,
fda_0943.pdbqt,-6.11,,
fda_0944.pdbqt,-5.62,,
fda_0945.pdbqt,-4.44,,
fda_0946.pdbqt,-5.98 (invalid),,
fda_0947.pdbqt,-6.80 (invalid),,
fda_0948.pdbqt,-5.82 (invalid),,
fda_0949.pdbqt,-6.07 (invalid),,
fda_0950.pdbqt,-4.44,,
fda_0951.pdbqt,-3.08 (invalid),,
fda_0952.pdbqt,0.80 (invalid),,
fda_0953.pdbqt,-7.11,,
fda_0954.pdbqt,-6.69 (invalid),,
fda_0955.pdbqt,-7.00 (invalid),,
fda_0956.pdbqt,-5.82,,
fda_0957.pdbqt,-5.85 (invalid),,
fda_0958.pdbqt,-5.99,,
fda_0959.pdbqt,-6.80 (invalid),,
fda_0960.pdbqt,-6.11,,
fda_0961.pdbqt,-6.17,,
fda_0962.pdbqt,-5.79,,
fda_0963.pdbqt,-6.63 (invalid),,
fda_0964.pdbqt,-6.66,,
fda_0965.pdbqt,-5.31,,
fda_0966.pdbqt,-5.12,,
fda_0967.pdbqt,-5.01,,
fda_0968.pdbqt,-6.06 (invalid),,
fda_0969.pdbqt,-5.55,,
fda_0970.pdbqt,-5.66,,
fda_0971.pdbqt,-6.06,,
fda_0972.pdbqt,-6.60,,
fda_0973.pdbqt,-6.05 (invalid),,
fda_0974.pdbqt,-6.54,,
fda_0975.pdbqt,-6.42,,
fda_0976.pdbqt,-4.16,,
fda_0977.pdbqt,-4.21,,
fda_0978.pdbqt,60.77 (invalid),,
fda_0979.pdbqt,61.85 (invalid),,
fda_0980.pdbqt,53.07 (invalid),,
fda_0981.pdbqt,63.52 (invalid),,
fda_0982.pdbqt,-6.41,,
fda_0983.pdbqt,-6.51,,
fda_0984.pdbqt,-6.13 (invalid),,
fda_0985.pdbqt,-6.81,,
fda_0986.pdbqt,-5.84,,
fda_0987.pdbqt,-2.48,,
fda_0988.pdbqt,0.08 (invalid),,
fda_0989.pdbqt,-4.57,,
fda_0990.pdbqt,-5.07,,
fda_0991.pdbqt,-6.00,,
fda_0992.pdbqt,-4.95,,
fda_0993.pdbqt,-7.96 (invalid),,
fda_0994.pdbqt,-7.60,-7.66,
fda_0995.pdbqt,-8.35,-8.35,-8.34 (invalid)
fda_0996.pdbqt,-7.01,,
fda_0997.pdbqt,-6.95,,
fda_0998.pdbqt,-3.62 (invalid),,
fda_0999.pdbqt,-1.08 (invalid),,
fda_1000.pdbqt,-0.01 (invalid),,
fda_1001.pdbqt,-3.30 (invalid),,
fda_1002.pdbqt,-3.56,,
fda_1003.pdbqt,20.04 (invalid),,
fda_1004.pdbqt,13.80 (invalid),,
fda_1005.pdbqt,20.80,,
fda_1006.pdbqt,32.39 (invalid),,
fda_1007.pdbqt,-6.29 (invalid),,
fda_1008.pdbqt,-4.41 (invalid),,
fda_1009.pdbqt,-4.20,,
fda_1010.pdbqt,-3.91 (invalid),,
fda_1011.pdbqt,-4.45 (invalid),,
fda_1012.pdbqt,-2.67 (invalid),,
fda_1013.pdbqt,-3.39,,
fda_1014.pdbqt,-3.60 (invalid),,
fda_1015.pdbqt,-4.96,,
fda_1016.pdbqt,-6.94,,
fda_1017.pdbqt,-6.71,,
fda_1018.pdbqt,-7.52,-7.49,
fda_1019.pdbqt,-6.90,,
fda_1020.pdbqt,-5.00 (invalid),,
fda_1021.pdbqt,-6.91,,
fda_1022.pdbqt,-6.16,,
fda_1023.pdbqt,-6.45 (invalid),,
fda_1024.pdbqt,-6.48 (invalid),,
fda_1025.pdbqt,-7.12,-7.15,
fda_1026.pdbqt,-7.02,,
fda_1027.pdbqt,-5.92 (invalid),,
fda_1028.pdbqt,-5.49 (invalid),,
fda_1029.pdbqt,-5.78 (invalid),,
fda_1030.pdbqt,-4.96,,
fda_1031.pdbqt,-5.90,,
fda_1032.pdbqt,-6.68,,
fda_1033.pdbqt,-7.57,-7.70,
fda_1034.pdbqt,-6.20,,
fda_1035.pdbqt,-6.54,,
fda_1036.pdbqt,-5.82,,
fda_1037.pdbqt,-6.78 (invalid),,
fda_1038.pdbqt,-6.85,,
fda_1039.pdbqt,-2.71,,
fda_1040.pdbqt,-4.30,,
fda_1041.pdbqt,-4.71,,
fda_1042.pdbqt,-7.40,-7.38,
fda_1043.pdbqt,16.21 (invalid),,
fda_1044.pdbqt,17.35 (invalid),,
fda_1045.pdbqt,22.50 (invalid),,
fda_1046.pdbqt,28.56 (invalid),,
fda_1047.pdbqt,0.84,,
fda_1048.pdbqt,-0.06,,
fda_1049.pdbqt,0.88 (invalid),,
fda_1050.pdbqt,-1.97 (invalid),,
fda_1051.pdbqt,-5.26 (invalid),,
fda_1052.pdbqt,-6.15,,
fda_1053.pdbqt,-5.38,,
fda_1054.pdbqt,-4.53 (invalid),,
fda_1055.pdbqt,-6.47 (invalid),,
fda_1056.pdbqt,-5.43 (invalid),,
fda_1057.pdbqt,14.41 (invalid),,
fda_1058.pdbqt,3.78,,
fda_1059.pdbqt,9.47 (invalid),,
fda_1060.pdbqt,0.28 (invalid),,
fda_1061.pdbqt,-7.49,-7.46 (invalid),
fda_1062.pdbqt,-5.33 (invalid),,
fda_1063.pdbqt,-7.58 (invalid),,
fda_1064.pdbqt,-5.95 (invalid),,
fda_1065.pdbqt,-6.90,,
fda_1066.pdbqt,-4.87 (invalid),,
fda_1067.pdbqt,-6.92,,
fda_1068.pdbqt,-5.84,,
fda_1069.pdbqt,-6.53 (invalid),,
fda_1070.pdbqt,-4.96 (invalid),,
fda_1071.pdbqt,-4.81 (invalid),,
fda_1072.pdbqt,-2.23 (invalid),,
fda_1073.pdbqt,-4.42 (invalid),,
fda_1074.pdbqt,-1.98 (invalid),,
fda_1075.pdbqt,-4.31 (invalid),,
fda_1076.pdbqt,-1.57 (invalid),,
fda_1077.pdbqt,-3.51,,
fda_1078.pdbqt,-4.60,,
fda_1079.pdbqt,-5.00,,
fda_1080.pdbqt,-3.81,,
fda_1081.pdbqt,-5.92,,
fda_1082.pdbqt,-5.20,,
fda_1083.pdbqt,-5.55,,
fda_1084.pdbqt,0.24,,
fda_1085.pdbqt,-7.26 (invalid),,
fda_1086.pdbqt,-6.38 (invalid),,
fda_1087.pdbqt,-6.26,,
fda_1088.pdbqt,-7.10 (invalid),,
fda_1089.pdbqt,-4.79,,
fda_1090.pdbqt,35.97 (invalid),,
fda_1091.pdbqt,-6.19,,
fda_1092.pdbqt,-6.51,,
fda_1093.pdbqt,-6.26,,
fda_1094.pdbqt,-7.00,,
fda_1095.pdbqt,-6.80,,
fda_1096.pdbqt,-6.68 (invalid),,
fda_1097.pdbqt,-6.56 (invalid),,
fda_1098.pdbqt,-4.74,,
fda_1099.pdbqt,-6.02 (invalid),,
fda_1100.pdbqt,-5.04,,
fda_1101.pdbqt,-6.94 (invalid),,
fda_1102.pdbqt,17.46 (invalid),,
fda_1103.pdbqt,23.25 (invalid),,
fda_1104.pdbqt,9.74 (invalid),,
fda_1105.pdbqt,15.23 (invalid),,
fda_1106.pdbqt,-2.43 (invalid),,
fda_1107.pdbqt,-5.98 (invalid),,
fda_1108.pdbqt,-6.36 (invalid),,
fda_1109.pdbqt,-6.09 (invalid),,
fda_1110.pdbqt,-6.22 (invalid),,
fda_1111.pdbqt,-6.74 (invalid),,
fda_1112.pdbqt,-6.20 (invalid),,
fda_1113.pdbqt,-6.17 (invalid),,
fda_1114.pdbqt,-6.11 (invalid),,
fda_1115.pdbqt,-5.54 (invalid),,
fda_1116.pdbqt,-6.77 (invalid),,
fda_1117.pdbqt,-6.60 (invalid),,
fda_1118.pdbqt,-5.46 (invalid),,
fda_1119.pdbqt,-5.43,,
fda_1120.pdbqt,-6.99,,
fda_1121.pdbqt,26.24 (invalid),,
fda_1122.pdbqt,8.42,,
fda_1123.pdbqt,21.16 (invalid),,
fda_1124.pdbqt,28.44 (invalid),,
fda_1125.pdbqt,8.39,,
fda_1126.pdbqt,14.62 (invalid),,
fda_1127.pdbqt,-0.91,,
fda_1128.pdbqt,-0.35,,
fda_1129.pdbqt,-6.33,,
fda_1130.pdbqt,-6.54,,
fda_1131.pdbqt,15.32 (invalid),,
fda_1132.pdbqt,17.31 (invalid),,
fda_1133.pdbqt,-5.01,,
fda_1134.pdbqt,-5.20 (invalid),,
fda_1135.pdbqt,-4.88,,
fda_1136.pdbqt,-5.33,,
fda_1137.pdbqt,-4.23,,
fda_1138.pdbqt,-3.34,,
fda_1139.pdbqt,1.94 (invalid),,
fda_1140.pdbqt,-0.65,,
fda_1141.pdbqt,-4.77,,
fda_1142.pdbqt,-5.04,,
fda_1143.pdbqt,-3.74,,
fda_1144.pdbqt,-2.56 (invalid),,
fda_1145.pdbqt,-4.13,,
fda_1146.pdbqt,-4.76,,
fda_1147.pdbqt,-6.40 (invalid),,
fda_1148.pdbqt,-6.79 (invalid),,
fda_1149.pdbqt,-6.62 (invalid),,
fda_1150.pdbqt,-6.64 (invalid),,
fda_1151.pdbqt,-6.48 (invalid),,
fda_1152.pdbqt,-6.21 (invalid),,
fda_1153.pdbqt,-6.00 (invalid),,
fda_1154.pdbqt,-6.34 (invalid),,
fda_1155.pdbqt,-4.17,,
fda_1156.pdbqt,-5.98,,
fda_1157.pdbqt,-7.40 (invalid),,
fda_1158.pdbqt,16.23 (invalid),,
fda_1159.pdbqt,26.94 (invalid),,
fda_1160.pdbqt,31.96 (invalid),,
fda_1161.pdbqt,17.81 (invalid),,
fda_1162.pdbqt,1.78,,
fda_1163.pdbqt,-1.04 (invalid),,
fda_1164.pdbqt,-7.22,-7.22,
fda_1165.pdbqt,-6.33,,
fda_1166.pdbqt,-6.60,,
fda_1167.pdbqt,-6.40,,
fda_1168.pdbqt,-1.01 (invalid),,
fda_1169.pdbqt,-0.16 (invalid),,
fda_1170.pdbqt,-3.19 (invalid),,
fda_1171.pdbqt,-5.42,,
fda_1172.pdbqt,-5.89,,
fda_1173.pdbqt,-4.88 (invalid),,
fda_1174.pdbqt,-6.71,,
fda_1175.pdbqt,-6.48,,
fda_1176.pdbqt,-5.82,,
fda_1177.pdbqt,-4.90,,
fda_1178.pdbqt,-4.12,,
fda_1179.pdbqt,-5.82,,
fda_1180.pdbqt,-5.46,,
fda_1181.pdbqt,-6.35,,
fda_1182.pdbqt,-7.00,,
fda_1183.pdbqt,-4.68,,
fda_1184.pdbqt,-2.82,,
fda_1185.pdbqt,-6.02,,
fda_1186.pdbqt,-5.45,,
fda_1187.pdbqt,-4.24,,
fda_1188.pdbqt,-5.37 (invalid),,
fda_1189.pdbqt,-7.32 (invalid),,
fda_1190.pdbqt,-4.40 (invalid),,
fda_1191.pdbqt,-4.81,,
fda_1192.pdbqt,-3.28,,
fda_1193.pdbqt,-4.00,,
fda_1194.pdbqt,-3.44,,
fda_1195.pdbqt,-4.20,,
fda_1196.pdbqt,-4.82,,
fda_1197.pdbqt,-5.03,,
fda_1198.pdbqt,-6.09,,
fda_1199.pdbqt,-5.60,,
fda_1200.pdbqt,-6.73,,
fda_1201.pdbqt,-6.74,,
fda_1202.pdbqt,-5.89,,
fda_1203.pdbqt,-6.59,,
fda_1204.pdbqt,-6.87,,
fda_1205.pdbqt,-5.09,,
fda_1206.pdbqt,-1.70,,
fda_1207.pdbqt,-6.64,,
fda_1208.pdbqt,-4.67,,
fda_1209.pdbqt,-4.85,,
fda_1210.pdbqt,-4.97,,
fda_1211.pdbqt,-5.93,,
fda_1212.pdbqt,-2.81 (invalid),,
fda_1213.pdbqt,-4.32,,
fda_1214.pdbqt,-5.09 (invalid),,
fda_1215.pdbqt,10.28,,
fda_1216.pdbqt,11.92,,
fda_1217.pdbqt,14.51,,
fda_1218.pdbqt,20.66,,
fda_1219.pdbqt,-8.18,-8.40 (invalid),
fda_1220.pdbqt,-6.70 (invalid),,
fda_1221.pdbqt,-5.40 (invalid),,
fda_1222.pdbqt,-6.59 (invalid),,
fda_1223.pdbqt,-6.10 (invalid),,
fda_1224.pdbqt,-6.87 (invalid),,
fda_1225.pdbqt,-6.04 (invalid),,
fda_1226.pdbqt,-6.38,,
fda_1227.pdbqt,-7.02 (invalid),,
fda_1228.pdbqt,-6.70 (invalid),,
fda_1229.pdbqt,-5.88 (invalid),,
fda_1230.pdbqt,-6.59 (invalid),,
fda_1231.pdbqt,-6.58 (invalid),,
fda_1232.pdbqt,-6.67 (invalid),,
fda_1233.pdbqt,-7.04 (invalid),,
fda_1234.pdbqt,-6.09,,
fda_1235.pdbqt,81.15 (invalid),,
