Apo
variant	pH	run_id	target_name	library_name	pdb_id	N	n_actives	actives_fraction	ROC_AUC	PR_AUC	logAUC	logAUC_adj	BEDROC_alpha_20	EF@1%	EF@2%	EF@5%	EF@10%
APO	pH7_0	20251128_214459	CARBONIC ANHYDRASE II		1BCD	32545	835	0.026	0.642	0.045	0.221	0.076	0.138	3.118	3.173	2.276	1.952
APO	pH7_0	20251128_214459	RXR RETINOID X RECEPTOR, NUCLEAR RECEPTOR COACTIVATOR 2		1MV9	7869	162	0.021	0.823	0.383	0.529	0.385	0.538	30.128	20.110	9.641	6.172
APO	pH7_2	20251128_214459	ESTROGEN RECEPTOR	esr1	1SJ0	33991	1255	0.037	0.761	0.196	0.349	0.204	0.338	11.073	8.603	5.194	3.968
APO	pH6_5	20251128_214459	PROTEASE RETROPEPSIN		1XL2	37673	1395	0.037	0.715	0.075	0.249	0.104	0.170	2.006	2.439	2.537	2.416
APO	pH7_5	20251128_214459	MINERALOCORTICOID RECEPTOR		2AA2	5433	193	0.036	0.548	0.126	0.229	0.085	0.197	8.862	4.907	2.484	2.281
APO	pH7_0	20251128_214459	ALDOSE REDUCTASE		2HV5	9356	220	0.024	0.681	0.057	0.256	0.111	0.182	5.429	4.321	2.999	2.635
APO	pH7_0	20251128_214459	DIPEPTIDYL PEPTIDASE IV		2I78	42452	1079	0.025	0.579	0.031	0.173	0.028	0.073	1.111	1.020	0.982	1.140
APO	pH8_5	20251128_214459	PROTO-ONCOGENE TYROSINE-PROTEIN KINASE LCK		2OF2	28539	683	0.024	0.803	0.121	0.353	0.208	0.304	9.823	7.464	5.271	4.422
APO	pH7_5	20251128_214459	SERINE/THREONINE-PROTEIN KINASE PLK1		2OWB	7034	155	0.022	0.571	0.032	0.191	0.046	0.121	4.538	3.540	2.063	1.743
