severity,file_num,rdk_id,display_name,reason_codes,pubchem_record_title,rxnorm_generic_name,drugcentral_generic_name,sdf_title,inchikey,path
review,3409,rdk_0003409,eklira,brand_display_with_clean_pubchem_title,bromure d'aclidinium,aclidinium,,fda_6590,XLAKJQPTOJHYDR-QTQXQZBYSA-M,/stor/home/mpg2352/atlas2/code/protein_automation/prepped_ligands/rdk_0003409.pdbqt
review,3411,rdk_0003411,quarzan,brand_display_with_clean_pubchem_title,clidinio bromuro,,,fda_6592,GKEGFOKQMZHVOW-UHFFFAOYSA-M,/stor/home/mpg2352/atlas2/code/protein_automation/prepped_ligands/rdk_0003411.pdbqt
review,3412,rdk_0003412,alnide,raw_quality_iupac_like,CYCLOPENTOLATE HYDROCHLORIDE,cyclopentolate,,fda_6593,RHKZVMUBMXGOLL-UHFFFAOYSA-N,/stor/home/mpg2352/atlas2/code/protein_automation/prepped_ligands/rdk_0003412.pdbqt
review,3413,rdk_0003413,xanomeline,brand_display_with_clean_pubchem_title,XANOMELINE OXALATE,xanomeline,,fda_6594,ZJOUESNWCLASJP-UHFFFAOYSA-N,/stor/home/mpg2352/atlas2/code/protein_automation/prepped_ligands/rdk_0003413.pdbqt
review,3414,rdk_0003414,vecuronium,raw_quality_formula_like,C34H57BrN2O4,vecuronium,,fda_6595,VEPSYABRBFXYIB-UHFFFAOYSA-M,/stor/home/mpg2352/atlas2/code/protein_automation/prepped_ligands/rdk_0003414.pdbqt
review,3423,rdk_0003423,mintussin,brand_display_with_clean_pubchem_title,Methylatropine bromide,codeine,,fda_6604,XMLNCADGRIEXPK-KUMOIWDRSA-M,/stor/home/mpg2352/atlas2/code/protein_automation/prepped_ligands/rdk_0003423.pdbqt
review,3424,rdk_0003424,mucinol,brand_display_with_clean_pubchem_title,anethole dithiolthione,anethole trithione,,fda_6605,KYLIZBIRMBGUOP-UHFFFAOYSA-N,/stor/home/mpg2352/atlas2/code/protein_automation/prepped_ligands/rdk_0003424.pdbqt
review,3427,rdk_0003427,riluzole,brand_display_with_clean_pubchem_title,Riluzole hydrochloride,riluzole,,fda_6608,QEAOELIJQRYJJS-UHFFFAOYSA-N,/stor/home/mpg2352/atlas2/code/protein_automation/prepped_ligands/rdk_0003427.pdbqt
review,3428,rdk_0003428,deoxycholic acid,raw_quality_cas_only;raw_quality_ndc_like,30635-00-8,,,fda_6609,KXGVEGMKQFWNSR-UHFFFAOYSA-N,/stor/home/mpg2352/atlas2/code/protein_automation/prepped_ligands/rdk_0003428.pdbqt
review,3429,rdk_0003429,ursodeoxycholate,brand_display_with_clean_pubchem_title,ursodeoxycholic acid sodium,ursodiol,,fda_6610,WDFRNBJHDMUMBL-FUXQPCDDSA-M,/stor/home/mpg2352/atlas2/code/protein_automation/prepped_ligands/rdk_0003429.pdbqt
