gene,pdb_id,mode,method,install_status,nontrivial_comp_ids,installed_file_exists
NR1H2,3KFC,holo_strict,X-RAY DIFFRACTION,holo_downloaded,61X,yes
NR1H3,3IPQ,holo_strict,X-RAY DIFFRACTION,holo_downloaded,965,yes
NR1H4,1OSH,holo_strict,X-RAY DIFFRACTION,holo_downloaded,FEX,yes
NR1I2,1SKX,holo_strict,X-RAY DIFFRACTION,holo_downloaded,RFP,yes
NR1I3,1XVP,holo_strict,X-RAY DIFFRACTION,holo_downloaded,F15;CID,yes
NR3C1,3BQD,holo_strict,X-RAY DIFFRACTION,holo_downloaded,DAY,yes
NTSR1,7UL2,holo_strict,ELECTRON MICROSCOPY,holo_downloaded,Q6Q,yes
OPRD1,8F7S,holo_strict,ELECTRON MICROSCOPY,holo_downloaded,CLR;PLM,yes
OPRK1,6B73,holo_strict,X-RAY DIFFRACTION,holo_downloaded,CVV;CLR;OLA,yes
OPRM1,9WST,apo_fallback,ELECTRON MICROSCOPY,apo_downloaded,,no
PDE3A,7KWE,holo_strict,X-RAY DIFFRACTION,holo_downloaded,X5M,yes
PDE4A,2QYK,holo_strict,X-RAY DIFFRACTION,holo_downloaded,NPV,yes
PDE4D,1Q9M,holo_strict,X-RAY DIFFRACTION,holo_downloaded,ROL,yes
PGR,3G8O,holo_strict,X-RAY DIFFRACTION,holo_downloaded,30X,yes
PPARA,2P54,holo_strict,X-RAY DIFFRACTION,holo_downloaded,735,yes
PPARG,1KNU,holo_strict,X-RAY DIFFRACTION,holo_downloaded,YPA,yes
PTGS2,5F19,holo_strict,X-RAY DIFFRACTION,holo_downloaded,COH;AKR;BOG,yes
RARA,3A9E,holo_strict,X-RAY DIFFRACTION,holo_downloaded,754;REA,yes
RARB,4DM6,holo_strict,X-RAY DIFFRACTION,holo_downloaded,TTB,yes
RARG,5M24,holo_strict,X-RAY DIFFRACTION,holo_downloaded,9CR;LMU,yes
SCN5A,4DJC,apo_fallback,X-RAY DIFFRACTION,apo_downloaded,,no
SLC18A2,8JSW,holo_strict,ELECTRON MICROSCOPY,holo_downloaded,SRO,yes
SLC6A2,8HFE,apo_fallback,ELECTRON MICROSCOPY,apo_downloaded,,no
SLC6A3,9EO4,holo_strict,ELECTRON MICROSCOPY,holo_downloaded,42L;A1AAF;Y01;D10;LNK;HP6;D12;MYS;OCT,yes
SLC6A4,5I6X,holo_strict,X-RAY DIFFRACTION,holo_downloaded,CLR;LMT;8PR,yes
