assay group ID,preferred assay ID,assay name,EntrezGeneID,EntrezGeneSymbol,HumanEntrezGeneSymbol(representative),Protein/Target/Name,Protein/Target/ProteinClass
41524,41524,HTR2B agonist (CRO assay),3357,HTR2B,HTR2B,5-hydroxytryptamine receptor 2B,GPCR
5451,5451,HTR2B antagonist,3357,HTR2B,HTR2B,5-hydroxytryptamine receptor 2B,GPCR
"3196, 42784",3196,HTR2B Binding,3357,HTR2B,HTR2B,5-hydroxytryptamine receptor 2B,GPCR
3126,3126,HTR2C Binding,3358,HTR2C,HTR2C,5-hydroxytryptamine receptor 2C,GPCR
3175,3175,HTR3A inhibition,3359,HTR3A,HTR3A,5-hydroxytryptamine receptor 3A,Ion Channel
3195,3195,HTR5A Binding,3361,HTR5A,HTR5A,5-hydroxytryptamine receptor 5A,GPCR
3082,3082,HTR6 Binding,3362,HTR6,HTR6,5-hydroxytryptamine receptor 6,GPCR
3083,3083,HTR7 Binding,3363,HTR7,HTR7,5-hydroxytryptamine receptor 7,GPCR
3081,3081,KCNH2 (dofelitide binding) inhibition,3757,KCNH2,KCNH2,Potassium voltage-gated channel subfamily H member 2,Ion Channel
"32016, 41637",41637,KDR inhibition,3791,KDR,KDR,Vascular endothelial growth factor receptor 2,Kinase
"3189, 41634",41634,MAOA inhibition,4128,MAOA,MAOA,Amine oxidase [flavin-containing] A,Enzyme
"3259, 16800, 18311",3259,MC3R Binding,4159,MC3R,MC3R,Melanocortin receptor 3,GPCR
3260,3260,MC4R Binding,4160,MC4R,MC4R,Melanocortin receptor 4,GPCR
3275,3275,MLNR Binding,2862,MLNR,MLNR,Motilin receptor,GPCR
3262,3262,NPY1R Binding,4886,NPY1R,NPY1R,Neuropeptide Y receptor type 1,GPCR
3278,3278,NPY2R Binding,4887,NPY2R,NPY2R,Neuropeptide Y receptor type 2,GPCR
41577,41577,NR1H2 agonist,7376,NR1H2,NR1H2,Oxysterols receptor LXR-beta,Nuclear Hormone Receptor
41578,41578,NR1H2 antagonist,7376,NR1H2,NR1H2,Oxysterols receptor LXR-beta,Nuclear Hormone Receptor
41574,41574,NR1H3 agonist,10062,NR1H3,NR1H3,Oxysterols receptor LXR-alpha,Nuclear Hormone Receptor
41575,41575,NR1H3 antagonist,10062,NR1H3,NR1H3,Oxysterols receptor LXR-alpha,Nuclear Hormone Receptor
41540,41540,NR1H4 agonist (TR-FRET assay),9971,NR1H4,NR1H4,Bile acid receptor,Nuclear Hormone Receptor
60740,60740,NR1H4 agonist (luminescence assay),9971,NR1H4,NR1H4,Bile acid receptor,Nuclear Hormone Receptor
41541,41541,NR1H4 antagonist (TR-FRET assay),9971,NR1H4,NR1H4,Bile acid receptor,Nuclear Hormone Receptor
60741,60741,NR1H4 antagonist (luminescence assay),9971,NR1H4,NR1H4,Bile acid receptor,Nuclear Hormone Receptor
5439,5439,NR1I2 agonist,8856,NR1I2,NR1I2,Nuclear receptor subfamily 1 group I member 2,Nuclear Hormone Receptor
5438,5438,NR1I2 antagonist,8856,NR1I2,NR1I2,Nuclear receptor subfamily 1 group I member 2,Nuclear Hormone Receptor
3264,3264,NR1I2 Binding,8856,NR1I2,NR1I2,Nuclear receptor subfamily 1 group I member 2,Nuclear Hormone Receptor
31964,31964,NR1I3 antagonist,9970,NR1I3,NR1I3,Nuclear receptor subfamily 1 group I member 3,Nuclear Hormone Receptor
13316,13316,NR3C1 agonist,2908,NR3C1,NR3C1,Glucocorticoid receptor,Nuclear Hormone Receptor
