rank	severity	rule_id	pdb	ligand	message	count	recency	file	sample	hint	step	paths
63	soft	render.enqueue_none	5MO4	5MO4_cleaned	Controls/RDK not enqueued	1	2025-10-14 18:19:26	/stor/home/mpg2352/atlas/code/protein_automation/logs/bench_20251014_181443.log	2025-10-14 18:19:26,505 - INFO - [render-enqueue] 5MO4 bench_pocket1_single: receptor=/stor/home/mpg2352/atlas/code/protein_automation/processed_pdbs/5MO4/receptor/5MO4_cleaned.pdb | orig=/stor/home/mpg2352/atlas/code/protein_automation/input_pdbs/5MO4.pdb | ctrl=None | rdk=None	Control selection failed or disabled; check 'hint_count' and control whitelist.	render	/stor/home/mpg2352/atlas/code/protein_automation/prepped_ligands/5MO4/ligand_prep_status.tsv;/stor/home/mpg2352/atlas/code/protein_automation/docked/5MO4/bench_pocket1_single/5MO4_cleaned__CONTROL+RDKclosest_front.png;/stor/home/mpg2352/atlas/code/protein_automation/docked/5MO4/bench_pocket1_single/5MO4_cleaned__CONTROL_front.png;/stor/home/mpg2352/atlas/code/protein_automation/docked/5MO4/bench_pocket1_single/5MO4_cleaned__CONTROL_top.png;/stor/home/mpg2352/atlas/code/protein_automation/docked/5MO4/bench_pocket1_single/5MO4_cleaned__RDKclosest_side.png;/stor/home/mpg2352/atlas/code/protein_automation/docked/5MO4/bench_pocket1_single/5MO4_cleaned__CONTROL_side.png;/stor/home/mpg2352/atlas/code/protein_automation/docked/5MO4/bench_pocket1_single/5MO4_cleaned__CONTROL+RDKclosest_top.png;/stor/home/mpg2352/atlas/code/protein_automation/docked/5MO4/bench_pocket1_single/5MO4_cleaned__RDKclosest_front.png;/stor/home/mpg2352/atlas/code/protein_automation/docked/5MO4/bench_pocket1_single/5MO4_cleaned__CONTROL+RDKclosest_side.png;/stor/home/mpg2352/atlas/code/protein_automation/docked/5MO4/bench_pocket1_single/5MO4_cleaned__RDKclosest_top.png;/stor/home/mpg2352/atlas/code/protein_automation/docked/5MO4/protein.log;/stor/home/mpg2352/atlas/code/protein_automation/logs/bench_20251014_181443.log
64	soft	render.enqueue_none	4U5J	4U5J_cleaned	Controls/RDK not enqueued	1	2025-10-14 18:19:25	docked/4U5J/protein.log	2025-10-14 18:19:25,978 - INFO - [render-enqueue] 4U5J bench_pocket1_single: receptor=/stor/home/mpg2352/atlas/code/protein_automation/processed_pdbs/4U5J/receptor/4U5J_cleaned.pdb | orig=/stor/home/mpg2352/atlas/code/protein_automation/input_pdbs/4U5J.pdb | ctrl=None | rdk=None	Control selection failed or disabled; check 'hint_count' and control whitelist.	render	/stor/home/mpg2352/atlas/code/protein_automation/prepped_ligands/4U5J/ligand_prep_status.tsv;/stor/home/mpg2352/atlas/code/protein_automation/docked/4U5J/bench_pocket1_single/4U5J_cleaned__RDKclosest_top.png;/stor/home/mpg2352/atlas/code/protein_automation/docked/4U5J/bench_pocket1_single/4U5J_cleaned__CONTROL_front.png;/stor/home/mpg2352/atlas/code/protein_automation/docked/4U5J/bench_pocket1_single/4U5J_cleaned__CONTROL+RDKclosest_front.png;/stor/home/mpg2352/atlas/code/protein_automation/docked/4U5J/bench_pocket1_single/4U5J_cleaned__CONTROL+RDKclosest_top.png;/stor/home/mpg2352/atlas/code/protein_automation/docked/4U5J/bench_pocket1_single/4U5J_cleaned__CONTROL+RDKclosest_side.png;/stor/home/mpg2352/atlas/code/protein_automation/docked/4U5J/bench_pocket1_single/4U5J_cleaned__CONTROL_side.png;/stor/home/mpg2352/atlas/code/protein_automation/docked/4U5J/bench_pocket1_single/4U5J_cleaned__RDKclosest_front.png;/stor/home/mpg2352/atlas/code/protein_automation/docked/4U5J/bench_pocket1_single/4U5J_cleaned__CONTROL_top.png;/stor/home/mpg2352/atlas/code/protein_automation/docked/4U5J/bench_pocket1_single/4U5J_cleaned__RDKclosest_side.png;/stor/home/mpg2352/atlas/code/protein_automation/docked/4U5J/protein.log
65	soft	render.enqueue_none	4U5J	4U5J_cleaned	Controls/RDK not enqueued	1	2025-10-14 18:19:25	/stor/home/mpg2352/atlas/code/protein_automation/logs/bench_20251014_181443.log	2025-10-14 18:19:25,978 - INFO - [render-enqueue] 4U5J bench_pocket1_single: receptor=/stor/home/mpg2352/atlas/code/protein_automation/processed_pdbs/4U5J/receptor/4U5J_cleaned.pdb | orig=/stor/home/mpg2352/atlas/code/protein_automation/input_pdbs/4U5J.pdb | ctrl=None | rdk=None	Control selection failed or disabled; check 'hint_count' and control whitelist.	render	/stor/home/mpg2352/atlas/code/protein_automation/prepped_ligands/4U5J/ligand_prep_status.tsv;/stor/home/mpg2352/atlas/code/protein_automation/docked/4U5J/bench_pocket1_single/4U5J_cleaned__RDKclosest_top.png;/stor/home/mpg2352/atlas/code/protein_automation/docked/4U5J/bench_pocket1_single/4U5J_cleaned__CONTROL_front.png;/stor/home/mpg2352/atlas/code/protein_automation/docked/4U5J/bench_pocket1_single/4U5J_cleaned__CONTROL+RDKclosest_front.png;/stor/home/mpg2352/atlas/code/protein_automation/docked/4U5J/bench_pocket1_single/4U5J_cleaned__CONTROL+RDKclosest_top.png;/stor/home/mpg2352/atlas/code/protein_automation/docked/4U5J/bench_pocket1_single/4U5J_cleaned__CONTROL+RDKclosest_side.png;/stor/home/mpg2352/atlas/code/protein_automation/docked/4U5J/bench_pocket1_single/4U5J_cleaned__CONTROL_side.png;/stor/home/mpg2352/atlas/code/protein_automation/docked/4U5J/bench_pocket1_single/4U5J_cleaned__RDKclosest_front.png;/stor/home/mpg2352/atlas/code/protein_automation/docked/4U5J/bench_pocket1_single/4U5J_cleaned__CONTROL_top.png;/stor/home/mpg2352/atlas/code/protein_automation/docked/4U5J/bench_pocket1_single/4U5J_cleaned__RDKclosest_side.png;/stor/home/mpg2352/atlas/code/protein_automation/docked/4U5J/protein.log;/stor/home/mpg2352/atlas/code/protein_automation/logs/bench_20251014_181443.log
66	soft	render.enqueue_none	4RT7	4RT7_cleaned	Controls/RDK not enqueued	1	2025-10-14 18:19:21	docked/4RT7/protein.log	2025-10-14 18:19:21,992 - INFO - [render-enqueue] 4RT7 bench_pocket1_single: receptor=/stor/home/mpg2352/atlas/code/protein_automation/processed_pdbs/4RT7/receptor/4RT7_cleaned.pdb | orig=/stor/home/mpg2352/atlas/code/protein_automation/input_pdbs/4RT7.pdb | ctrl=None | rdk=None	Control selection failed or disabled; check 'hint_count' and control whitelist.	render	/stor/home/mpg2352/atlas/code/protein_automation/prepped_ligands/4RT7/ligand_prep_status.tsv;/stor/home/mpg2352/atlas/code/protein_automation/docked/4RT7/bench_pocket1_single/4RT7_cleaned__RDKclosest_side.png;/stor/home/mpg2352/atlas/code/protein_automation/docked/4RT7/bench_pocket1_single/4RT7_cleaned__CONTROL_front.png;/stor/home/mpg2352/atlas/code/protein_automation/docked/4RT7/bench_pocket1_single/4RT7_cleaned__CONTROL_side.png;/stor/home/mpg2352/atlas/code/protein_automation/docked/4RT7/bench_pocket1_single/4RT7_cleaned__RDKclosest_front.png;/stor/home/mpg2352/atlas/code/protein_automation/docked/4RT7/bench_pocket1_single/4RT7_cleaned__CONTROL_top.png;/stor/home/mpg2352/atlas/code/protein_automation/docked/4RT7/bench_pocket1_single/4RT7_cleaned__CONTROL+RDKclosest_top.png;/stor/home/mpg2352/atlas/code/protein_automation/docked/4RT7/bench_pocket1_single/4RT7_cleaned__CONTROL+RDKclosest_front.png;/stor/home/mpg2352/atlas/code/protein_automation/docked/4RT7/bench_pocket1_single/4RT7_cleaned__RDKclosest_top.png;/stor/home/mpg2352/atlas/code/protein_automation/docked/4RT7/bench_pocket1_single/4RT7_cleaned__CONTROL+RDKclosest_side.png;/stor/home/mpg2352/atlas/code/protein_automation/docked/4RT7/protein.log
67	soft	render.enqueue_none	4RT7	4RT7_cleaned	Controls/RDK not enqueued	1	2025-10-14 18:19:21	/stor/home/mpg2352/atlas/code/protein_automation/logs/bench_20251014_181443.log	2025-10-14 18:19:21,992 - INFO - [render-enqueue] 4RT7 bench_pocket1_single: receptor=/stor/home/mpg2352/atlas/code/protein_automation/processed_pdbs/4RT7/receptor/4RT7_cleaned.pdb | orig=/stor/home/mpg2352/atlas/code/protein_automation/input_pdbs/4RT7.pdb | ctrl=None | rdk=None	Control selection failed or disabled; check 'hint_count' and control whitelist.	render	/stor/home/mpg2352/atlas/code/protein_automation/prepped_ligands/4RT7/ligand_prep_status.tsv;/stor/home/mpg2352/atlas/code/protein_automation/docked/4RT7/bench_pocket1_single/4RT7_cleaned__RDKclosest_side.png;/stor/home/mpg2352/atlas/code/protein_automation/docked/4RT7/bench_pocket1_single/4RT7_cleaned__CONTROL_front.png;/stor/home/mpg2352/atlas/code/protein_automation/docked/4RT7/bench_pocket1_single/4RT7_cleaned__CONTROL_side.png;/stor/home/mpg2352/atlas/code/protein_automation/docked/4RT7/bench_pocket1_single/4RT7_cleaned__RDKclosest_front.png;/stor/home/mpg2352/atlas/code/protein_automation/docked/4RT7/bench_pocket1_single/4RT7_cleaned__CONTROL_top.png;/stor/home/mpg2352/atlas/code/protein_automation/docked/4RT7/bench_pocket1_single/4RT7_cleaned__CONTROL+RDKclosest_top.png;/stor/home/mpg2352/atlas/code/protein_automation/docked/4RT7/bench_pocket1_single/4RT7_cleaned__CONTROL+RDKclosest_front.png;/stor/home/mpg2352/atlas/code/protein_automation/docked/4RT7/bench_pocket1_single/4RT7_cleaned__RDKclosest_top.png;/stor/home/mpg2352/atlas/code/protein_automation/docked/4RT7/bench_pocket1_single/4RT7_cleaned__CONTROL+RDKclosest_side.png;/stor/home/mpg2352/atlas/code/protein_automation/docked/4RT7/protein.log;/stor/home/mpg2352/atlas/code/protein_automation/logs/bench_20251014_181443.log
68	soft	render.enqueue_none	2XP2	2XP2_cleaned	Controls/RDK not enqueued	1	2025-10-14 18:19:20	docked/2XP2/protein.log	2025-10-14 18:19:20,442 - INFO - [render-enqueue] 2XP2 bench_pocket1_single: receptor=/stor/home/mpg2352/atlas/code/protein_automation/processed_pdbs/2XP2/receptor/2XP2_cleaned.pdb | orig=/stor/home/mpg2352/atlas/code/protein_automation/input_pdbs/2XP2.pdb | ctrl=None | rdk=None	Control selection failed or disabled; check 'hint_count' and control whitelist.	render	/stor/home/mpg2352/atlas/code/protein_automation/prepped_ligands/2XP2/ligand_prep_status.tsv;/stor/home/mpg2352/atlas/code/protein_automation/docked/2XP2/bench_pocket1_single/2XP2_cleaned__CONTROL+RDKclosest_side.png;/stor/home/mpg2352/atlas/code/protein_automation/docked/2XP2/bench_pocket1_single/2XP2_cleaned__CONTROL_side.png;/stor/home/mpg2352/atlas/code/protein_automation/docked/2XP2/bench_pocket1_single/2XP2_cleaned__CONTROL_top.png;/stor/home/mpg2352/atlas/code/protein_automation/docked/2XP2/bench_pocket1_single/2XP2_cleaned__CONTROL_front.png;/stor/home/mpg2352/atlas/code/protein_automation/docked/2XP2/bench_pocket1_single/2XP2_cleaned__RDKclosest_side.png;/stor/home/mpg2352/atlas/code/protein_automation/docked/2XP2/bench_pocket1_single/2XP2_cleaned__CONTROL+RDKclosest_top.png;/stor/home/mpg2352/atlas/code/protein_automation/docked/2XP2/bench_pocket1_single/2XP2_cleaned__RDKclosest_front.png;/stor/home/mpg2352/atlas/code/protein_automation/docked/2XP2/bench_pocket1_single/2XP2_cleaned__CONTROL+RDKclosest_front.png;/stor/home/mpg2352/atlas/code/protein_automation/docked/2XP2/bench_pocket1_single/2XP2_cleaned__RDKclosest_top.png;/stor/home/mpg2352/atlas/code/protein_automation/docked/2XP2/protein.log
69	soft	render.enqueue_none	3WZD	3WZD_cleaned	Controls/RDK not enqueued	1	2025-10-14 18:19:20	docked/3WZD/protein.log	2025-10-14 18:19:20,379 - INFO - [render-enqueue] 3WZD bench_pocket1_single: receptor=/stor/home/mpg2352/atlas/code/protein_automation/processed_pdbs/3WZD/receptor/3WZD_cleaned.pdb | orig=/stor/home/mpg2352/atlas/code/protein_automation/input_pdbs/3WZD.pdb | ctrl=None | rdk=None	Control selection failed or disabled; check 'hint_count' and control whitelist.	render	/stor/home/mpg2352/atlas/code/protein_automation/prepped_ligands/3WZD/ligand_prep_status.tsv;/stor/home/mpg2352/atlas/code/protein_automation/docked/3WZD/bench_pocket1_single/3WZD_cleaned__CONTROL_front.png;/stor/home/mpg2352/atlas/code/protein_automation/docked/3WZD/bench_pocket1_single/3WZD_cleaned__CONTROL+RDKclosest_top.png;/stor/home/mpg2352/atlas/code/protein_automation/docked/3WZD/bench_pocket1_single/3WZD_cleaned__RDKclosest_front.png;/stor/home/mpg2352/atlas/code/protein_automation/docked/3WZD/bench_pocket1_single/3WZD_cleaned__CONTROL+RDKclosest_side.png;/stor/home/mpg2352/atlas/code/protein_automation/docked/3WZD/bench_pocket1_single/3WZD_cleaned__CONTROL+RDKclosest_front.png;/stor/home/mpg2352/atlas/code/protein_automation/docked/3WZD/bench_pocket1_single/3WZD_cleaned__CONTROL_top.png;/stor/home/mpg2352/atlas/code/protein_automation/docked/3WZD/bench_pocket1_single/3WZD_cleaned__RDKclosest_side.png;/stor/home/mpg2352/atlas/code/protein_automation/docked/3WZD/bench_pocket1_single/3WZD_cleaned__CONTROL_side.png;/stor/home/mpg2352/atlas/code/protein_automation/docked/3WZD/bench_pocket1_single/3WZD_cleaned__RDKclosest_top.png;/stor/home/mpg2352/atlas/code/protein_automation/docked/3WZD/protein.log
70	soft	render.enqueue_none	3WZD	3WZD_cleaned	Controls/RDK not enqueued	1	2025-10-14 18:19:20	/stor/home/mpg2352/atlas/code/protein_automation/logs/bench_20251014_181443.log	2025-10-14 18:19:20,379 - INFO - [render-enqueue] 3WZD bench_pocket1_single: receptor=/stor/home/mpg2352/atlas/code/protein_automation/processed_pdbs/3WZD/receptor/3WZD_cleaned.pdb | orig=/stor/home/mpg2352/atlas/code/protein_automation/input_pdbs/3WZD.pdb | ctrl=None | rdk=None	Control selection failed or disabled; check 'hint_count' and control whitelist.	render	/stor/home/mpg2352/atlas/code/protein_automation/prepped_ligands/3WZD/ligand_prep_status.tsv;/stor/home/mpg2352/atlas/code/protein_automation/docked/3WZD/bench_pocket1_single/3WZD_cleaned__CONTROL_front.png;/stor/home/mpg2352/atlas/code/protein_automation/docked/3WZD/bench_pocket1_single/3WZD_cleaned__CONTROL+RDKclosest_top.png;/stor/home/mpg2352/atlas/code/protein_automation/docked/3WZD/bench_pocket1_single/3WZD_cleaned__RDKclosest_front.png;/stor/home/mpg2352/atlas/code/protein_automation/docked/3WZD/bench_pocket1_single/3WZD_cleaned__CONTROL+RDKclosest_side.png;/stor/home/mpg2352/atlas/code/protein_automation/docked/3WZD/bench_pocket1_single/3WZD_cleaned__CONTROL+RDKclosest_front.png;/stor/home/mpg2352/atlas/code/protein_automation/docked/3WZD/bench_pocket1_single/3WZD_cleaned__CONTROL_top.png;/stor/home/mpg2352/atlas/code/protein_automation/docked/3WZD/bench_pocket1_single/3WZD_cleaned__RDKclosest_side.png;/stor/home/mpg2352/atlas/code/protein_automation/docked/3WZD/bench_pocket1_single/3WZD_cleaned__CONTROL_side.png;/stor/home/mpg2352/atlas/code/protein_automation/docked/3WZD/bench_pocket1_single/3WZD_cleaned__RDKclosest_top.png;/stor/home/mpg2352/atlas/code/protein_automation/docked/3WZD/protein.log;/stor/home/mpg2352/atlas/code/protein_automation/logs/bench_20251014_181443.log
71	soft	render.enqueue_none	2XP2	2XP2_cleaned	Controls/RDK not enqueued	1	2025-10-14 18:19:20	/stor/home/mpg2352/atlas/code/protein_automation/logs/bench_20251014_181443.log	2025-10-14 18:19:20,442 - INFO - [render-enqueue] 2XP2 bench_pocket1_single: receptor=/stor/home/mpg2352/atlas/code/protein_automation/processed_pdbs/2XP2/receptor/2XP2_cleaned.pdb | orig=/stor/home/mpg2352/atlas/code/protein_automation/input_pdbs/2XP2.pdb | ctrl=None | rdk=None	Control selection failed or disabled; check 'hint_count' and control whitelist.	render	/stor/home/mpg2352/atlas/code/protein_automation/prepped_ligands/2XP2/ligand_prep_status.tsv;/stor/home/mpg2352/atlas/code/protein_automation/docked/2XP2/bench_pocket1_single/2XP2_cleaned__CONTROL+RDKclosest_side.png;/stor/home/mpg2352/atlas/code/protein_automation/docked/2XP2/bench_pocket1_single/2XP2_cleaned__CONTROL_side.png;/stor/home/mpg2352/atlas/code/protein_automation/docked/2XP2/bench_pocket1_single/2XP2_cleaned__CONTROL_top.png;/stor/home/mpg2352/atlas/code/protein_automation/docked/2XP2/bench_pocket1_single/2XP2_cleaned__CONTROL_front.png;/stor/home/mpg2352/atlas/code/protein_automation/docked/2XP2/bench_pocket1_single/2XP2_cleaned__RDKclosest_side.png;/stor/home/mpg2352/atlas/code/protein_automation/docked/2XP2/bench_pocket1_single/2XP2_cleaned__CONTROL+RDKclosest_top.png;/stor/home/mpg2352/atlas/code/protein_automation/docked/2XP2/bench_pocket1_single/2XP2_cleaned__RDKclosest_front.png;/stor/home/mpg2352/atlas/code/protein_automation/docked/2XP2/bench_pocket1_single/2XP2_cleaned__CONTROL+RDKclosest_front.png;/stor/home/mpg2352/atlas/code/protein_automation/docked/2XP2/bench_pocket1_single/2XP2_cleaned__RDKclosest_top.png;/stor/home/mpg2352/atlas/code/protein_automation/docked/2XP2/protein.log;/stor/home/mpg2352/atlas/code/protein_automation/logs/bench_20251014_181443.log
72	soft	render.enqueue_none	6WTN	6WTN_cleaned	Controls/RDK not enqueued	1	2025-10-14 18:19:19	docked/6WTN/protein.log	2025-10-14 18:19:19,437 - INFO - [render-enqueue] 6WTN bench_pocket1_single: receptor=/stor/home/mpg2352/atlas/code/protein_automation/processed_pdbs/6WTN/receptor/6WTN_cleaned.pdb | orig=/stor/home/mpg2352/atlas/code/protein_automation/input_pdbs/6WTN.pdb | ctrl=None | rdk=None	Control selection failed or disabled; check 'hint_count' and control whitelist.	render	/stor/home/mpg2352/atlas/code/protein_automation/prepped_ligands/6WTN/ligand_prep_status.tsv;/stor/home/mpg2352/atlas/code/protein_automation/docked/6WTN/bench_pocket1_single/6WTN_cleaned__CONTROL_top.png;/stor/home/mpg2352/atlas/code/protein_automation/docked/6WTN/bench_pocket1_single/6WTN_cleaned__CONTROL_side.png;/stor/home/mpg2352/atlas/code/protein_automation/docked/6WTN/bench_pocket1_single/6WTN_cleaned__CONTROL+RDKclosest_top.png;/stor/home/mpg2352/atlas/code/protein_automation/docked/6WTN/bench_pocket1_single/6WTN_cleaned__CONTROL+RDKclosest_front.png;/stor/home/mpg2352/atlas/code/protein_automation/docked/6WTN/bench_pocket1_single/6WTN_cleaned__RDKclosest_front.png;/stor/home/mpg2352/atlas/code/protein_automation/docked/6WTN/bench_pocket1_single/6WTN_cleaned__CONTROL_front.png;/stor/home/mpg2352/atlas/code/protein_automation/docked/6WTN/bench_pocket1_single/6WTN_cleaned__RDKclosest_side.png;/stor/home/mpg2352/atlas/code/protein_automation/docked/6WTN/bench_pocket1_single/6WTN_cleaned__CONTROL+RDKclosest_side.png;/stor/home/mpg2352/atlas/code/protein_automation/docked/6WTN/bench_pocket1_single/6WTN_cleaned__RDKclosest_top.png;/stor/home/mpg2352/atlas/code/protein_automation/docked/6WTN/protein.log
73	soft	render.enqueue_none	6WTN	6WTN_cleaned	Controls/RDK not enqueued	1	2025-10-14 18:19:19	/stor/home/mpg2352/atlas/code/protein_automation/logs/bench_20251014_181443.log	2025-10-14 18:19:19,437 - INFO - [render-enqueue] 6WTN bench_pocket1_single: receptor=/stor/home/mpg2352/atlas/code/protein_automation/processed_pdbs/6WTN/receptor/6WTN_cleaned.pdb | orig=/stor/home/mpg2352/atlas/code/protein_automation/input_pdbs/6WTN.pdb | ctrl=None | rdk=None	Control selection failed or disabled; check 'hint_count' and control whitelist.	render	/stor/home/mpg2352/atlas/code/protein_automation/prepped_ligands/6WTN/ligand_prep_status.tsv;/stor/home/mpg2352/atlas/code/protein_automation/docked/6WTN/bench_pocket1_single/6WTN_cleaned__CONTROL_top.png;/stor/home/mpg2352/atlas/code/protein_automation/docked/6WTN/bench_pocket1_single/6WTN_cleaned__CONTROL_side.png;/stor/home/mpg2352/atlas/code/protein_automation/docked/6WTN/bench_pocket1_single/6WTN_cleaned__CONTROL+RDKclosest_top.png;/stor/home/mpg2352/atlas/code/protein_automation/docked/6WTN/bench_pocket1_single/6WTN_cleaned__CONTROL+RDKclosest_front.png;/stor/home/mpg2352/atlas/code/protein_automation/docked/6WTN/bench_pocket1_single/6WTN_cleaned__RDKclosest_front.png;/stor/home/mpg2352/atlas/code/protein_automation/docked/6WTN/bench_pocket1_single/6WTN_cleaned__CONTROL_front.png;/stor/home/mpg2352/atlas/code/protein_automation/docked/6WTN/bench_pocket1_single/6WTN_cleaned__RDKclosest_side.png;/stor/home/mpg2352/atlas/code/protein_automation/docked/6WTN/bench_pocket1_single/6WTN_cleaned__CONTROL+RDKclosest_side.png;/stor/home/mpg2352/atlas/code/protein_automation/docked/6WTN/bench_pocket1_single/6WTN_cleaned__RDKclosest_top.png;/stor/home/mpg2352/atlas/code/protein_automation/docked/6WTN/protein.log;/stor/home/mpg2352/atlas/code/protein_automation/logs/bench_20251014_181443.log
74	soft	render.enqueue_none	2WGJ	2WGJ_cleaned	Controls/RDK not enqueued	1	2025-10-14 18:19:18	docked/2WGJ/protein.log	2025-10-14 18:19:18,267 - INFO - [render-enqueue] 2WGJ bench_pocket1_single: receptor=/stor/home/mpg2352/atlas/code/protein_automation/processed_pdbs/2WGJ/receptor/2WGJ_cleaned.pdb | orig=/stor/home/mpg2352/atlas/code/protein_automation/input_pdbs/2WGJ.pdb | ctrl=None | rdk=None	Control selection failed or disabled; check 'hint_count' and control whitelist.	render	/stor/home/mpg2352/atlas/code/protein_automation/prepped_ligands/2WGJ/ligand_prep_status.tsv;/stor/home/mpg2352/atlas/code/protein_automation/docked/2WGJ/bench_pocket1_single/2WGJ_cleaned__RDKclosest_side.png;/stor/home/mpg2352/atlas/code/protein_automation/docked/2WGJ/bench_pocket1_single/2WGJ_cleaned__CONTROL+RDKclosest_side.png;/stor/home/mpg2352/atlas/code/protein_automation/docked/2WGJ/bench_pocket1_single/2WGJ_cleaned__RDKclosest_front.png;/stor/home/mpg2352/atlas/code/protein_automation/docked/2WGJ/bench_pocket1_single/2WGJ_cleaned__CONTROL_top.png;/stor/home/mpg2352/atlas/code/protein_automation/docked/2WGJ/bench_pocket1_single/2WGJ_cleaned__CONTROL_front.png;/stor/home/mpg2352/atlas/code/protein_automation/docked/2WGJ/bench_pocket1_single/2WGJ_cleaned__CONTROL_side.png;/stor/home/mpg2352/atlas/code/protein_automation/docked/2WGJ/bench_pocket1_single/2WGJ_cleaned__CONTROL+RDKclosest_top.png;/stor/home/mpg2352/atlas/code/protein_automation/docked/2WGJ/bench_pocket1_single/2WGJ_cleaned__CONTROL+RDKclosest_front.png;/stor/home/mpg2352/atlas/code/protein_automation/docked/2WGJ/bench_pocket1_single/2WGJ_cleaned__RDKclosest_top.png;/stor/home/mpg2352/atlas/code/protein_automation/docked/2WGJ/protein.log
75	soft	render.enqueue_none	3ERT	3ERT_cleaned	Controls/RDK not enqueued	1	2025-10-14 18:19:18	docked/3ERT/protein.log	2025-10-14 18:19:18,273 - INFO - [render-enqueue] 3ERT bench_pocket1_single: receptor=/stor/home/mpg2352/atlas/code/protein_automation/processed_pdbs/3ERT/receptor/3ERT_cleaned.pdb | orig=/stor/home/mpg2352/atlas/code/protein_automation/input_pdbs/3ERT.pdb | ctrl=None | rdk=None	Control selection failed or disabled; check 'hint_count' and control whitelist.	render	/stor/home/mpg2352/atlas/code/protein_automation/prepped_ligands/3ERT/ligand_prep_status.tsv;/stor/home/mpg2352/atlas/code/protein_automation/docked/3ERT/bench_pocket1_single/3ERT_cleaned__CONTROL+RDKclosest_top.png;/stor/home/mpg2352/atlas/code/protein_automation/docked/3ERT/bench_pocket1_single/3ERT_cleaned__CONTROL_front.png;/stor/home/mpg2352/atlas/code/protein_automation/docked/3ERT/bench_pocket1_single/3ERT_cleaned__CONTROL+RDKclosest_side.png;/stor/home/mpg2352/atlas/code/protein_automation/docked/3ERT/bench_pocket1_single/3ERT_cleaned__CONTROL_side.png;/stor/home/mpg2352/atlas/code/protein_automation/docked/3ERT/bench_pocket1_single/3ERT_cleaned__RDKclosest_side.png;/stor/home/mpg2352/atlas/code/protein_automation/docked/3ERT/bench_pocket1_single/3ERT_cleaned__RDKclosest_front.png;/stor/home/mpg2352/atlas/code/protein_automation/docked/3ERT/bench_pocket1_single/3ERT_cleaned__CONTROL_top.png;/stor/home/mpg2352/atlas/code/protein_automation/docked/3ERT/bench_pocket1_single/3ERT_cleaned__RDKclosest_top.png;/stor/home/mpg2352/atlas/code/protein_automation/docked/3ERT/bench_pocket1_single/3ERT_cleaned__CONTROL+RDKclosest_front.png;/stor/home/mpg2352/atlas/code/protein_automation/docked/3ERT/protein.log
76	soft	render.enqueue_none	2WGJ	2WGJ_cleaned	Controls/RDK not enqueued	1	2025-10-14 18:19:18	/stor/home/mpg2352/atlas/code/protein_automation/logs/bench_20251014_181443.log	2025-10-14 18:19:18,267 - INFO - [render-enqueue] 2WGJ bench_pocket1_single: receptor=/stor/home/mpg2352/atlas/code/protein_automation/processed_pdbs/2WGJ/receptor/2WGJ_cleaned.pdb | orig=/stor/home/mpg2352/atlas/code/protein_automation/input_pdbs/2WGJ.pdb | ctrl=None | rdk=None	Control selection failed or disabled; check 'hint_count' and control whitelist.	render	/stor/home/mpg2352/atlas/code/protein_automation/prepped_ligands/2WGJ/ligand_prep_status.tsv;/stor/home/mpg2352/atlas/code/protein_automation/docked/2WGJ/bench_pocket1_single/2WGJ_cleaned__RDKclosest_side.png;/stor/home/mpg2352/atlas/code/protein_automation/docked/2WGJ/bench_pocket1_single/2WGJ_cleaned__CONTROL+RDKclosest_side.png;/stor/home/mpg2352/atlas/code/protein_automation/docked/2WGJ/bench_pocket1_single/2WGJ_cleaned__RDKclosest_front.png;/stor/home/mpg2352/atlas/code/protein_automation/docked/2WGJ/bench_pocket1_single/2WGJ_cleaned__CONTROL_top.png;/stor/home/mpg2352/atlas/code/protein_automation/docked/2WGJ/bench_pocket1_single/2WGJ_cleaned__CONTROL_front.png;/stor/home/mpg2352/atlas/code/protein_automation/docked/2WGJ/bench_pocket1_single/2WGJ_cleaned__CONTROL_side.png;/stor/home/mpg2352/atlas/code/protein_automation/docked/2WGJ/bench_pocket1_single/2WGJ_cleaned__CONTROL+RDKclosest_top.png;/stor/home/mpg2352/atlas/code/protein_automation/docked/2WGJ/bench_pocket1_single/2WGJ_cleaned__CONTROL+RDKclosest_front.png;/stor/home/mpg2352/atlas/code/protein_automation/docked/2WGJ/bench_pocket1_single/2WGJ_cleaned__RDKclosest_top.png;/stor/home/mpg2352/atlas/code/protein_automation/docked/2WGJ/protein.log;/stor/home/mpg2352/atlas/code/protein_automation/logs/bench_20251014_181443.log
