Ligand,stage1,stage2,stage3
fda_0096.pdbqt,-7.66,,
fda_0097.pdbqt,-6.23,,
fda_0098.pdbqt,-6.45,,
fda_0099.pdbqt,-7.37,,
fda_0100.pdbqt,-6.83,,
fda_0101.pdbqt,-7.05,,
fda_0102.pdbqt,-4.60,,
fda_0103.pdbqt,-7.13,,
fda_0104.pdbqt,-8.21,,
fda_0105.pdbqt,-6.37,,
fda_0106.pdbqt,-7.84,,
fda_0107.pdbqt,-8.18,,
fda_0108.pdbqt,-6.97,,
fda_0109.pdbqt,-5.22,,
fda_0110.pdbqt,-6.34,,
fda_0111.pdbqt,-7.66,,
fda_0112.pdbqt,-7.28,,
fda_0113.pdbqt,-6.32,,
fda_0114.pdbqt,-7.31,,
fda_0115.pdbqt,-6.68,,
fda_0116.pdbqt,-7.20,,
fda_0117.pdbqt,-7.47,,
fda_0118.pdbqt,-6.47,,
fda_0119.pdbqt,-8.65,-8.33,
fda_0120.pdbqt,-5.99 (invalid),,
fda_0121.pdbqt,-6.46,,
fda_0122.pdbqt,-6.36,,
fda_0123.pdbqt,-8.09,,
fda_0124.pdbqt,-7.48,,
fda_0125.pdbqt,-8.45,,
fda_0126.pdbqt,-8.34,,
fda_0127.pdbqt,-7.96,,
fda_0128.pdbqt,-7.77,,
fda_0129.pdbqt,-7.23,,
fda_0130.pdbqt,-7.78,,
fda_0131.pdbqt,-6.29 (invalid),,
fda_0132.pdbqt,-6.54 (invalid),,
fda_0133.pdbqt,-6.96 (invalid),,
fda_0134.pdbqt,-7.65,,
fda_0135.pdbqt,-7.14,,
fda_0136.pdbqt,-7.86,,
fda_0137.pdbqt,-6.72,,
fda_0138.pdbqt,-7.38,,
fda_0139.pdbqt,-7.62,,
fda_0140.pdbqt,-7.92,,
fda_0141.pdbqt,-7.72,,
fda_0142.pdbqt,-5.15,,
fda_0143.pdbqt,-7.85,,
fda_0144.pdbqt,-7.62,,
fda_0145.pdbqt,-6.75,,
fda_0146.pdbqt,-7.20,,
fda_0147.pdbqt,-5.88,,
fda_0148.pdbqt,-5.41,,
fda_0149.pdbqt,-7.96,,
fda_0150.pdbqt,-7.99,,
