Ligand ID,Protein PDB ID,Best Score
fda_0952,10GS,-8.71
fda_0953,10GS,-7.57
fda_0953,1M17,-7.2
fda_0954,10GS,-6.42
fda_0954,1M17,-6.31
fda_0955,1M17,-7.13
fda_0955,10GS,-6.69
fda_0956,10GS,-7.38
fda_0957,10GS,-7.65
fda_0958,10GS,-7.92
fda_0958,1M17,-7.66
fda_0959,10GS,-7.76
fda_0959,1M17,-7.76
fda_0960,10GS,-8.82
fda_0960,1M17,-8.26
fda_0961,10GS,-7.78
fda_0962,1M17,-7.13
fda_0962,10GS,-7.12
fda_0963,10GS,-7.97
fda_0964,1M17,-8.22
fda_0964,10GS,-7.86
fda_0965,1M17,-8.08
fda_0965,10GS,-7.91
fda_0966,10GS,-7.93
fda_0966,1M17,-7.78
fda_0967,10GS,-8.08
fda_0967,1M17,-7.89
fda_0968,10GS,-9.25
fda_0968,1M17,-8.88
fda_0969,1M17,-9.07
fda_0969,10GS,-8.72
fda_0970,10GS,-7.45
fda_0971,10GS,-8.36
fda_0972,10GS,-8.25
fda_0972,1M17,-8.08
fda_0973,10GS,-7.77
fda_0974,10GS,-6.87
fda_0975,1M17,-8.07
fda_0975,10GS,-7.67
fda_0976,10GS,-6.98
fda_0977,1M17,-7.58
fda_0977,10GS,-7.37
fda_0982,10GS,-6.9
fda_0983,1M17,-7.4
fda_0984,10GS,-7.12
fda_0984,1M17,-7.02
fda_0989,1M17,-8.55
fda_0989,10GS,-7.76
fda_0990,10GS,-8.38
fda_0990,1M17,-8.35
fda_0991,1M17,-7.53
fda_0991,10GS,-7.31
fda_0992,10GS,-7.59
fda_0993,10GS,-7.14
fda_0993,1M17,-7.1
fda_0994,10GS,-8.31
fda_0994,1M17,-7.76
fda_0995,10GS,-8.9
fda_0995,1M17,-8.16
fda_0996,10GS,-7.0
fda_0996,1M17,-6.75
fda_0997,10GS,-7.74
fda_0998,10GS,-8.46
fda_0998,1M17,-8.17
fda_0999,10GS,-7.91
fda_1000,10GS,-7.88
fda_1001,10GS,-8.24
fda_1002,10GS,-8.28
fda_1003,10GS,-7.92
fda_1003,1M17,-7.54
fda_1004,10GS,-7.64
fda_1004,1M17,-7.39
fda_1005,1M17,-7.51
fda_1005,10GS,-7.08
fda_1006,1M17,-7.95
fda_1006,10GS,-7.46
fda_1008,10GS,-6.68
fda_1009,10GS,-6.83
fda_1010,10GS,-6.69
fda_1011,1M17,-6.93
fda_1011,10GS,-6.7
fda_1012,10GS,-7.51
fda_1013,10GS,-7.42
fda_1014,10GS,-7.57
fda_1015,10GS,-7.3
fda_1016,10GS,-7.18
fda_1017,1M17,-7.59
fda_1017,10GS,-7.4
fda_1018,10GS,-7.63
fda_1019,1M17,-7.53
fda_1019,10GS,-6.57
fda_1025,10GS,-7.49
fda_1025,1M17,-7.07
fda_1026,1M17,-7.58
fda_1026,10GS,-7.38
fda_1036,1M17,-6.14
fda_1036,10GS,-5.71
fda_1038,1M17,-7.18
fda_1038,10GS,-7.08
fda_1039,10GS,-7.35
fda_1039,1M17,-6.07
fda_1040,10GS,-6.81
fda_1040,1M17,-6.05
fda_1041,10GS,-7.21
fda_1041,1M17,-6.25
fda_1042,10GS,-7.68
fda_1042,1M17,-7.43
fda_1043,10GS,-7.79
fda_1043,1M17,-7.45
fda_1044,10GS,-8.05
fda_1044,1M17,-7.82
fda_1045,1M17,-7.49
fda_1045,10GS,-6.89
fda_1046,1M17,-8.61
fda_1046,10GS,-8.0
fda_1051,10GS,-5.29
fda_1057,10GS,-7.88
fda_1057,1M17,-7.32
fda_1058,10GS,-6.54
fda_1059,1M17,-8.29
fda_1059,10GS,-6.3
fda_1060,10GS,-7.09
fda_1061,10GS,-7.57
fda_1062,10GS,-7.2
fda_1063,10GS,-7.54
fda_1064,10GS,-7.67
fda_1065,10GS,-7.86
fda_1066,1M17,-8.47
fda_1066,10GS,-7.86
fda_1067,10GS,-7.61
fda_1068,1M17,-8.11
fda_1068,10GS,-7.79
fda_1073,10GS,-7.97
fda_1073,1M17,-7.88
fda_1074,10GS,-7.88
fda_1074,1M17,-7.15
fda_1075,1M17,-7.63
fda_1075,10GS,-6.8
fda_1076,10GS,-7.92
fda_1076,1M17,-7.64
fda_1077,10GS,-7.25
fda_1078,10GS,-7.43
fda_1079,10GS,-7.24
fda_1079,1M17,-7.18
fda_1080,10GS,-7.92
fda_1080,1M17,-7.22
fda_1081,1M17,-7.14
fda_1081,10GS,-6.59
fda_1083,10GS,-6.58
fda_1084,10GS,-7.21
fda_1092,10GS,-7.2
fda_1093,10GS,-7.09
fda_1093,1M17,-6.93
fda_1094,10GS,-7.02
fda_1094,1M17,-6.57
fda_1095,10GS,-7.38
fda_1095,1M17,-6.8
fda_1101,10GS,-7.03
fda_1102,10GS,-7.58
fda_1103,1M17,-8.26
fda_1103,10GS,-8.03
fda_1104,10GS,-7.09
fda_1105,10GS,-8.0
fda_1106,10GS,-7.28
fda_1114,10GS,-8.31
fda_1115,10GS,-7.61
fda_1116,10GS,-8.29
fda_1117,10GS,-7.12
fda_1118,1M17,-5.31
fda_1119,1M17,-5.42
fda_1121,1M17,-7.36
fda_1121,10GS,-7.29
fda_1122,1M17,-8.01
fda_1122,10GS,-7.0
fda_1123,10GS,-7.91
fda_1124,1M17,-7.69
fda_1124,10GS,-7.22
fda_1125,10GS,-8.29
fda_1126,10GS,-8.24
fda_1127,10GS,-9.06
fda_1128,10GS,-9.07
fda_1129,1M17,-7.5
fda_1129,10GS,-7.41
fda_1130,10GS,-7.66
fda_1130,1M17,-7.51
fda_1131,10GS,-8.97
fda_1132,10GS,-8.12
fda_1133,1M17,-7.92
fda_1133,10GS,-7.47
fda_1134,10GS,-7.98
fda_1135,10GS,-7.72
fda_1136,1M17,-7.79
fda_1136,10GS,-7.56
fda_1137,10GS,-8.28
fda_1137,1M17,-8.2
fda_1138,10GS,-8.51
fda_1138,1M17,-7.47
fda_1139,10GS,-8.38
fda_1139,1M17,-8.34
fda_1140,10GS,-9.2
fda_1140,1M17,-8.03
fda_1141,10GS,-7.72
fda_1141,1M17,-7.53
fda_1142,10GS,-7.7
fda_1142,1M17,-7.48
fda_1143,10GS,-7.29
fda_1143,1M17,-7.24
fda_1144,1M17,-7.27
fda_1144,10GS,-7.09
fda_1147,10GS,-6.07
fda_1148,10GS,-6.14
fda_1149,10GS,-6.67
fda_1150,10GS,-6.57
fda_1153,10GS,-6.24
fda_1153,1M17,-6.05
fda_1154,10GS,-6.05
fda_1155,1M17,-7.77
fda_1155,10GS,-7.52
fda_1156,10GS,-5.03
fda_1157,1M17,-7.26
fda_1157,10GS,-7.21
fda_1158,10GS,-8.75
fda_1159,10GS,-8.96
fda_1160,10GS,-9.03
fda_1160,1M17,-8.96
fda_1161,10GS,-8.41
fda_1162,10GS,-6.89
fda_1163,10GS,-7.53
fda_1164,10GS,-8.41
fda_1164,1M17,-8.15
fda_1165,1M17,-9.2
fda_1165,10GS,-7.71
fda_1166,1M17,-7.85
fda_1166,10GS,-7.7
fda_1167,1M17,-8.04
fda_1167,10GS,-7.7
fda_1168,10GS,-7.9
fda_1169,10GS,-7.9
fda_1170,10GS,-8.33
fda_1171,1M17,-7.25
fda_1171,10GS,-6.97
fda_1173,1M17,-8.13
fda_1173,10GS,-7.39
fda_1174,1M17,-9.21
fda_1174,10GS,-8.65
fda_1175,10GS,-8.35
fda_1175,1M17,-8.04
fda_1176,10GS,-8.39
fda_1176,1M17,-8.12
fda_1181,1M17,-6.86
fda_1181,10GS,-6.15
fda_1182,10GS,-6.54
fda_1182,1M17,-6.32
fda_1183,10GS,-7.17
fda_1184,10GS,-8.18
fda_1184,1M17,-7.94
fda_1189,10GS,-7.48
fda_1190,10GS,-7.25
fda_1191,10GS,-7.62
fda_1191,1M17,-6.71
fda_1192,10GS,-6.69
fda_1193,10GS,-7.6
fda_1193,1M17,-7.37
fda_1194,10GS,-3.14
fda_1195,1M17,-4.29
fda_1195,10GS,-4.0
fda_1196,1M17,-6.29
fda_1196,10GS,-6.18
fda_1197,10GS,-6.64
fda_1197,1M17,-6.28
fda_1198,1M17,-7.92
fda_1198,10GS,-7.53
fda_1199,1M17,-7.61
fda_1199,10GS,-7.53
fda_1200,1M17,-7.85
fda_1200,10GS,-7.2
fda_1201,1M17,-8.19
fda_1201,10GS,-7.33
fda_1202,1M17,-6.07
fda_1202,10GS,-5.39
fda_1203,10GS,-6.65
fda_1203,1M17,-6.61
fda_1205,10GS,-9.2
fda_1206,10GS,-9.27
fda_1206,1M17,-8.97
fda_1207,10GS,-9.32
fda_1215,1M17,-8.27
fda_1215,10GS,-7.46
fda_1216,10GS,-7.58
fda_1216,1M17,-7.55
fda_1217,1M17,-7.5
fda_1217,10GS,-6.81
fda_1218,10GS,-7.53
fda_1218,1M17,-7.48
fda_1219,1M17,-7.47
fda_1219,10GS,-7.28
fda_1226,10GS,-7.67
fda_1227,10GS,-7.54
fda_1228,10GS,-7.83
fda_1229,10GS,-7.59
fda_1230,10GS,-6.63
fda_1231,10GS,-6.4
fda_1232,10GS,-6.48
fda_1233,10GS,-6.71
fda_1234,10GS,-6.19
fda_1235,10GS,-9.16
fda_1236,10GS,-8.73
fda_1237,10GS,-9.68
fda_1238,10GS,-8.85
fda_1239,10GS,-4.89
fda_1241,1M17,-8.47
fda_1241,10GS,-8.06
fda_1242,10GS,-6.34
fda_1244,10GS,-9.39
fda_1244,1M17,-8.94
fda_1247,10GS,-6.24
fda_1248,10GS,-7.25
fda_1248,1M17,-7.14
fda_1249,1M17,-6.34
fda_1249,10GS,-5.74
fda_1250,1M17,-6.71
fda_1250,10GS,-5.97
fda_1253,10GS,-7.33
fda_1254,10GS,-5.15
fda_1256,1M17,-5.08
fda_1256,10GS,-4.87
fda_1259,10GS,-7.27
fda_1260,10GS,-7.46
fda_1261,10GS,-7.45
fda_1262,1M17,-8.43
fda_1262,10GS,-7.79
fda_1263,1M17,-8.58
fda_1263,10GS,-8.3
fda_1264,1M17,-9.42
fda_1264,10GS,-8.87
fda_1265,1M17,-8.44
fda_1265,10GS,-7.07
fda_1266,10GS,-7.38
fda_1266,1M17,-7.01
fda_1269,10GS,-7.32
fda_1269,1M17,-7.22
fda_1270,1M17,-6.16
fda_1270,10GS,-5.67
fda_1271,10GS,-8.02
fda_1271,1M17,-7.8
fda_1272,1M17,-6.97
fda_1278,10GS,-7.52
fda_1279,1M17,-5.31
fda_1280,1M17,-8.47
fda_1280,10GS,-7.85
fda_1283,10GS,-7.64
fda_1283,1M17,-7.28
fda_1284,1M17,-7.47
fda_1284,10GS,-7.36
fda_1285,10GS,-7.6
fda_1285,1M17,-7.5
fda_1286,10GS,-7.86
fda_1286,1M17,-7.44
fda_1287,1M17,-7.99
fda_1287,10GS,-7.56
fda_1288,1M17,-7.49
fda_1288,10GS,-7.09
fda_1289,1M17,-7.57
fda_1289,10GS,-7.35
fda_1292,10GS,-8.11
fda_1293,1M17,-9.44
fda_1293,10GS,-8.13
fda_1297,1M17,-6.74
fda_1297,10GS,-6.34
fda_1298,1M17,-7.99
fda_1298,10GS,-6.99
fda_1299,10GS,-5.78
fda_1299,1M17,-5.59
fda_1300,1M17,-5.82
fda_1300,10GS,-5.7
fda_1301,10GS,-5.56
fda_1301,1M17,-5.28
fda_1302,10GS,-6.09
fda_1302,1M17,-6.07
fda_1303,10GS,-6.86
fda_1304,1M17,-6.51
fda_1304,10GS,-6.14
fda_1311,1M17,-7.74
fda_1311,10GS,-6.94
fda_1312,1M17,-5.57
fda_1312,10GS,-5.36
fda_1313,1M17,-5.39
fda_1313,10GS,-5.05
fda_1315,1M17,-7.63
fda_1315,10GS,-6.75
fda_1316,1M17,-7.4
fda_1316,10GS,-7.1
fda_1317,10GS,-6.82
fda_1317,1M17,-6.73
fda_1318,10GS,-7.3
fda_1318,1M17,-7.12
fda_1333,10GS,-6.47
fda_1334,1M17,-7.74
fda_1334,10GS,-7.71
fda_1335,10GS,-5.73
fda_1336,10GS,-6.78
fda_1336,1M17,-6.75
fda_1337,10GS,-5.49
fda_1338,10GS,-7.41
fda_1338,1M17,-7.26
fda_1339,10GS,-8.19
fda_1340,10GS,-7.66
fda_1344,10GS,-4.41
fda_1345,1M17,-7.59
fda_1345,10GS,-6.5
fda_1347,10GS,-4.81
fda_1348,10GS,-7.13
fda_1348,1M17,-6.84
fda_1350,10GS,-7.06
fda_1352,1M17,-6.77
fda_1352,10GS,-5.64
fda_1354,10GS,-6.35
fda_1356,10GS,-4.58
fda_1357,10GS,-4.54
fda_1358,10GS,-7.28
fda_1358,1M17,-7.0
fda_1359,10GS,-8.47
fda_1360,10GS,-8.82
fda_1360,1M17,-7.67
fda_1364,1M17,-7.47
fda_1364,10GS,-7.33
fda_1365,10GS,-7.42
fda_1367,10GS,-8.26
fda_1368,10GS,-7.51
fda_1368,1M17,-6.66
fda_1369,10GS,-5.14
fda_1370,10GS,-4.92
fda_1374,1M17,-4.11
fda_1377,10GS,-5.91
fda_1380,1M17,-5.71
fda_1380,10GS,-5.54
fda_1381,1M17,-4.44
fda_1381,10GS,-4.0
fda_1383,10GS,-6.48
fda_1383,1M17,-6.19
fda_1384,10GS,-6.4
fda_1384,1M17,-5.8
fda_1385,1M17,-6.76
fda_1385,10GS,-6.48
fda_1386,10GS,-5.97
fda_1386,1M17,-5.93
fda_1387,1M17,-6.08
fda_1387,10GS,-5.95
fda_1388,10GS,-5.72
fda_1388,1M17,-5.68
fda_1389,1M17,-4.82
fda_1390,1M17,-5.17
fda_1391,1M17,-6.69
fda_1391,10GS,-6.0
fda_1392,1M17,-7.09
fda_1392,10GS,-6.9
fda_1393,1M17,-8.47
fda_1393,10GS,-8.01
fda_1394,10GS,-5.05
fda_1395,1M17,-5.71
fda_1395,10GS,-5.69
fda_1396,1M17,-6.02
fda_1396,10GS,-5.9
fda_1397,1M17,-6.8
fda_1397,10GS,-6.67
fda_1398,1M17,-6.12
fda_1398,10GS,-5.92
fda_1399,1M17,-6.19
fda_1399,10GS,-5.91
fda_1400,10GS,-5.65
fda_1401,1M17,-9.16
fda_1401,10GS,-8.35
fda_1403,10GS,-6.08
fda_1403,1M17,-5.91
fda_1407,10GS,-7.94
fda_1409,1M17,-8.42
fda_1409,10GS,-8.31
fda_1410,10GS,-5.16
fda_1412,10GS,-4.95
fda_1417,10GS,-6.64
fda_1418,10GS,-6.28
fda_1421,1M17,-6.32
fda_1421,10GS,-6.09
fda_1423,10GS,-7.19
fda_1423,1M17,-7.09
fda_1424,1M17,-6.4
fda_1424,10GS,-6.24
fda_1427,1M17,-5.66
fda_1428,10GS,-6.65
fda_1429,1M17,-7.93
fda_1429,10GS,-6.62
fda_1430,10GS,-7.54
fda_1435,10GS,-6.68
fda_1437,1M17,-4.8
fda_1437,10GS,-4.75
fda_1438,1M17,-6.7
fda_1438,10GS,-6.07
fda_1441,1M17,-6.75
fda_1441,10GS,-5.98
fda_1442,10GS,-8.48
fda_1442,1M17,-7.81
fda_1445,1M17,-6.62
fda_1445,10GS,-6.43
fda_1446,1M17,-5.74
fda_1446,10GS,-5.41
fda_1447,1M17,-9.79
fda_1447,10GS,-9.39
fda_1448,1M17,-9.4
fda_1448,10GS,-8.29
fda_1449,1M17,-9.59
fda_1449,10GS,-8.39
fda_1450,10GS,-7.34
fda_1451,10GS,-6.0
fda_1454,10GS,-4.72
fda_1456,10GS,-6.15
fda_1456,1M17,-5.93
fda_1457,10GS,-6.3
fda_1458,10GS,-4.48
fda_1459,10GS,-4.29
fda_1461,1M17,-6.08
fda_1461,10GS,-5.85
fda_1462,10GS,-6.56
fda_1462,1M17,-6.52
fda_1463,10GS,-6.49
fda_1467,10GS,-5.1
fda_1468,10GS,-5.33
fda_1469,1M17,-5.91
fda_1469,10GS,-4.98
fda_1470,10GS,-7.24
fda_1471,1M17,-5.11
fda_1471,10GS,-4.6
fda_1472,1M17,-6.07
fda_1472,10GS,-5.55
fda_1474,10GS,-6.74
fda_1474,1M17,-6.47
fda_1475,10GS,-6.75
fda_1475,1M17,-6.15
fda_1477,10GS,-7.39
fda_1479,10GS,-6.94
fda_1480,10GS,-7.04
fda_1481,10GS,-6.81
fda_1481,1M17,-6.53
fda_1482,10GS,-6.95
fda_1486,1M17,-6.95
fda_1486,10GS,-5.95
fda_1487,1M17,-6.8
fda_1487,10GS,-5.89
fda_1488,10GS,-5.25
fda_1489,10GS,-7.08
fda_1489,1M17,-6.94
fda_1491,10GS,-6.6
fda_1492,10GS,-7.67
fda_1496,1M17,-5.86
fda_1496,10GS,-5.34
fda_1497,1M17,-5.95
fda_1497,10GS,-5.31
fda_1498,10GS,-5.1
fda_1499,10GS,-6.03
fda_1500,10GS,-6.5
fda_1500,1M17,-6.23
fda_1501,10GS,-5.96
fda_1501,1M17,-5.45
fda_1502,10GS,-5.51
fda_1502,1M17,-5.36
fda_1503,10GS,-5.6
fda_1503,1M17,-5.46
fda_1504,10GS,-5.91
fda_1504,1M17,-5.7
fda_1505,10GS,-7.46
fda_1506,1M17,-8.42
fda_1506,10GS,-7.95
fda_1507,1M17,-9.06
fda_1507,10GS,-7.67
fda_1508,10GS,-7.82
fda_1509,1M17,-9.76
fda_1509,10GS,-7.79
fda_1510,1M17,-7.93
fda_1510,10GS,-7.79
fda_1511,1M17,-10.31
fda_1511,10GS,-9.31
fda_1512,10GS,-5.36
fda_1512,1M17,-5.05
fda_1513,1M17,-7.47
fda_1513,10GS,-6.51
fda_1514,1M17,-5.44
fda_1514,10GS,-5.35
fda_1516,1M17,-8.43
fda_1516,10GS,-7.89
fda_1517,1M17,-4.75
fda_1517,10GS,-4.09
fda_1519,10GS,-6.97
fda_1522,10GS,-6.9
fda_1523,10GS,-4.58
fda_1525,1M17,-5.0
fda_1526,1M17,-8.31
fda_1526,10GS,-7.91
fda_1528,10GS,-4.52
fda_1529,10GS,-8.49
fda_1530,10GS,-8.31
fda_1531,10GS,-4.69
fda_1532,10GS,-6.4
fda_1533,10GS,-7.29
fda_1534,10GS,-7.61
fda_1538,10GS,-7.06
fda_1540,10GS,-7.17
fda_1546,1M17,-7.56
fda_1546,10GS,-7.38
fda_1548,10GS,-8.01
fda_1548,1M17,-7.52
fda_1550,1M17,-8.0
fda_1550,10GS,-7.48
fda_1551,10GS,-5.88
fda_1551,1M17,-5.87
fda_1552,1M17,-6.15
fda_1552,10GS,-5.48
fda_1554,1M17,-8.56
fda_1554,10GS,-8.17
fda_1558,10GS,-6.7
fda_1558,1M17,-6.42
fda_1559,1M17,-5.59
fda_1559,10GS,-5.4
fda_1560,1M17,-6.68
fda_1560,10GS,-6.38
fda_1562,1M17,-7.47
fda_1562,10GS,-7.25
fda_1563,1M17,-7.98
fda_1563,10GS,-7.24
fda_1568,10GS,-5.99
fda_1568,1M17,-5.88
fda_1570,1M17,-8.35
fda_1570,10GS,-7.74
fda_1571,10GS,-9.2
fda_1572,10GS,-8.51
fda_1578,10GS,-8.86
fda_1578,1M17,-8.4
fda_1579,10GS,-8.6
fda_1580,10GS,-8.25
fda_1582,10GS,-7.96
fda_1582,1M17,-7.18
fda_1583,10GS,-7.68
fda_1584,10GS,-7.36
fda_1584,1M17,-6.95
fda_1585,10GS,-4.73
fda_1586,10GS,-6.61
fda_1586,1M17,-6.3
fda_1592,1M17,-7.6
fda_1592,10GS,-7.43
fda_1593,10GS,-7.31
fda_1593,1M17,-7.26
fda_1594,1M17,-8.06
fda_1594,10GS,-7.48
fda_1595,10GS,-7.59
fda_1596,10GS,-7.26
fda_1597,1M17,-8.46
fda_1597,10GS,-7.4
fda_1600,10GS,-7.85
fda_1600,1M17,-7.57
fda_1601,10GS,-8.09
fda_1601,1M17,-8.08
fda_1602,1M17,-7.72
fda_1602,10GS,-7.38
fda_1606,10GS,-8.37
fda_1606,1M17,-7.98
fda_1607,10GS,-7.98
fda_1608,10GS,-7.88
fda_1608,1M17,-7.72
fda_1609,10GS,-8.12
fda_1610,10GS,-7.46
fda_1611,10GS,-7.01
fda_1614,10GS,-7.55
fda_1614,1M17,-7.49
fda_1615,1M17,-7.73
fda_1615,10GS,-7.44
fda_1617,1M17,-8.1
fda_1617,10GS,-7.55
fda_1619,10GS,-6.17
fda_1619,1M17,-6.09
fda_1620,10GS,-6.05
fda_1621,10GS,-7.44
fda_1621,1M17,-7.34
fda_1622,1M17,-6.51
fda_1622,10GS,-6.22
fda_1623,10GS,-7.29
fda_1624,10GS,-7.36
fda_1626,10GS,-6.53
fda_1627,1M17,-7.67
fda_1627,10GS,-6.87
fda_1628,10GS,-7.13
fda_1629,10GS,-5.55
fda_1630,10GS,-7.59
fda_1630,1M17,-7.18
fda_1631,1M17,-7.07
fda_1631,10GS,-6.76
fda_1632,10GS,-6.87
fda_1633,10GS,-7.12
fda_1634,10GS,-6.87
fda_1635,1M17,-7.18
fda_1635,10GS,-6.8
fda_1636,10GS,-5.9
fda_1637,10GS,-6.77
fda_1638,1M17,-6.98
fda_1638,10GS,-6.85
fda_1639,10GS,-6.52
fda_1640,10GS,-6.5
fda_1641,10GS,-7.86
fda_1642,1M17,-6.89
fda_1642,10GS,-6.82
fda_1644,10GS,-6.83
fda_1645,1M17,-8.77
fda_1645,10GS,-8.09
fda_1646,10GS,-6.49
fda_1647,1M17,-6.52
fda_1647,10GS,-6.18
fda_1648,10GS,-6.19
fda_1649,1M17,-6.62
fda_1649,10GS,-6.36
fda_1650,10GS,-5.84
fda_1651,10GS,-7.0
fda_1651,1M17,-5.87
fda_1653,10GS,-6.39
fda_1653,1M17,-6.18
fda_1654,10GS,-7.55
fda_1655,10GS,-6.95
fda_1656,10GS,-6.37
fda_1657,10GS,-6.12
fda_1658,10GS,-6.49
fda_1659,10GS,-6.2
fda_1662,1M17,-7.13
fda_1662,10GS,-6.08
fda_1666,10GS,-6.95
fda_1666,1M17,-6.68
fda_1668,1M17,-8.32
fda_1668,10GS,-7.81
fda_1669,10GS,-6.64
fda_1670,10GS,-6.17
fda_1671,1M17,-7.14
fda_1671,10GS,-6.58
fda_1672,1M17,-6.53
fda_1672,10GS,-5.84
fda_1673,1M17,-6.43
fda_1673,10GS,-6.31
fda_1674,10GS,-6.33
fda_1676,1M17,-7.94
fda_1676,10GS,-7.5
fda_1677,10GS,-7.03
fda_1678,1M17,-7.25
fda_1678,10GS,-7.01
fda_1679,1M17,-5.03
fda_1679,10GS,-4.87
fda_1682,10GS,-6.18
fda_1683,10GS,-5.33
fda_1685,1M17,-6.59
fda_1685,10GS,-6.52
fda_1687,10GS,-5.98
fda_1688,10GS,-5.98
fda_1689,10GS,-6.05
fda_1691,10GS,-5.66
fda_1692,10GS,-6.3
fda_1692,1M17,-6.19
fda_1693,1M17,-6.28
fda_1693,10GS,-5.79
fda_1694,10GS,-6.15
fda_1695,10GS,-5.68
fda_1695,1M17,-5.04
fda_1696,1M17,-6.89
fda_1696,10GS,-6.53
fda_1698,1M17,-5.28
fda_1698,10GS,-4.78
fda_1699,1M17,-5.11
fda_1699,10GS,-4.66
fda_1700,1M17,-6.72
fda_1700,10GS,-6.71
fda_1702,10GS,-7.56
fda_1703,1M17,-8.51
fda_1703,10GS,-7.39
fda_1705,10GS,-5.8
fda_1705,1M17,-5.78
fda_1706,10GS,-7.76
fda_1708,1M17,-7.16
fda_1708,10GS,-6.86
fda_1709,1M17,-7.68
fda_1709,10GS,-6.67
fda_1711,10GS,-5.87
fda_1711,1M17,-5.76
fda_1715,10GS,-7.12
fda_1716,1M17,-6.67
fda_1716,10GS,-6.07
fda_1719,1M17,-5.78
fda_1719,10GS,-5.63
fda_1720,10GS,-6.56
fda_1720,1M17,-6.35
fda_1721,10GS,-6.15
fda_1722,10GS,-6.21
fda_1722,1M17,-6.21
fda_1725,10GS,-6.68
fda_1725,1M17,-6.12
fda_1726,10GS,-7.69
fda_1726,1M17,-7.6
fda_1728,1M17,-7.04
fda_1730,1M17,-6.76
fda_1730,10GS,-6.26
fda_1731,10GS,-7.74
fda_1731,1M17,-7.63
fda_1732,1M17,-7.39
fda_1732,10GS,-7.27
fda_1733,10GS,-7.47
fda_1734,1M17,-7.02
fda_1734,10GS,-6.85
fda_1735,1M17,-7.24
fda_1735,10GS,-6.97
fda_1736,10GS,-7.54
fda_1736,1M17,-7.53
fda_1737,10GS,-7.28
fda_1739,1M17,-5.89
fda_1739,10GS,-5.83
fda_1740,10GS,-7.75
fda_1741,10GS,-6.57
fda_1743,10GS,-7.14
fda_1743,1M17,-7.0
fda_1744,10GS,-7.33
fda_1744,1M17,-7.21
fda_1745,1M17,-8.85
fda_1745,10GS,-7.85
fda_1746,1M17,-9.43
fda_1746,10GS,-9.31
fda_1747,1M17,-6.76
fda_1747,10GS,-6.57
fda_1749,10GS,-8.05
fda_1750,10GS,-7.17
fda_1751,10GS,-6.22
fda_1752,1M17,-7.2
fda_1752,10GS,-7.17
fda_1753,1M17,-6.59
fda_1754,1M17,-8.11
fda_1754,10GS,-7.69
fda_1756,10GS,-7.16
fda_1756,1M17,-6.71
fda_1757,1M17,-6.52
fda_1757,10GS,-5.96
fda_1758,10GS,-7.55
fda_1758,1M17,-7.55
fda_1759,10GS,-6.51
fda_1760,10GS,-5.88
fda_1761,10GS,-6.29
fda_1762,1M17,-7.88
fda_1762,10GS,-7.19
fda_1763,1M17,-7.7
fda_1763,10GS,-7.18
fda_1765,1M17,-5.81
fda_1765,10GS,-5.77
fda_1766,10GS,-7.31
fda_1768,1M17,-9.03
fda_1768,10GS,-8.03
fda_1769,10GS,-8.77
fda_1770,10GS,-8.46
fda_1772,1M17,-7.16
fda_1772,10GS,-6.48
fda_1773,1M17,-7.75
fda_1773,10GS,-6.58
fda_1774,10GS,-7.0
fda_1775,1M17,-3.29
fda_1775,10GS,-3.19
fda_1776,1M17,-7.32
fda_1776,10GS,-7.3
fda_1779,10GS,-5.83
fda_1780,10GS,-7.56
fda_1780,1M17,-6.96
fda_1781,10GS,-7.01
fda_1781,1M17,-6.77
fda_1782,10GS,-6.42
fda_1783,10GS,-6.52
fda_1784,1M17,-6.15
fda_1784,10GS,-5.99
fda_1785,10GS,-6.32
fda_1785,1M17,-6.08
fda_1786,1M17,-6.68
fda_1786,10GS,-6.08
fda_1787,10GS,-6.21
fda_1788,1M17,-8.78
fda_1788,10GS,-7.77
fda_1789,10GS,-7.04
fda_1790,10GS,-8.06
fda_1791,1M17,-6.97
fda_1791,10GS,-6.69
fda_1793,10GS,-5.88
fda_1796,10GS,-6.39
fda_1796,1M17,-6.23
fda_1799,10GS,-5.89
fda_1799,1M17,-5.61
fda_1800,10GS,-5.59
fda_1801,10GS,-6.11
fda_1803,10GS,-6.15
fda_1804,1M17,-7.1
fda_1804,10GS,-6.97
fda_1805,1M17,-6.58
fda_1805,10GS,-6.13
fda_1806,1M17,-5.97
fda_1806,10GS,-5.78
fda_1807,10GS,-7.52
fda_1812,1M17,-8.38
fda_1812,10GS,-7.45
fda_1813,1M17,-8.23
fda_1813,10GS,-7.93
fda_1814,10GS,-7.09
fda_1821,1M17,-6.34
fda_1822,10GS,-7.93
fda_1824,10GS,-6.89
fda_1825,10GS,-7.06
fda_1825,1M17,-7.01
fda_1826,10GS,-7.56
fda_1826,1M17,-7.31
fda_1827,10GS,-7.51
fda_1828,1M17,-7.31
fda_1828,10GS,-7.2
fda_1829,10GS,-6.33
fda_1830,10GS,-6.31
fda_1830,1M17,-6.28
fda_1831,10GS,-5.96
fda_1833,10GS,-6.03
fda_1834,10GS,-7.18
fda_1834,1M17,-7.17
fda_1837,10GS,-5.04
fda_1842,10GS,-6.53
fda_1842,1M17,-6.46
fda_1843,1M17,-6.46
fda_1843,10GS,-6.3
fda_1844,1M17,-6.58
fda_1844,10GS,-6.32
fda_1847,10GS,-5.85
fda_1849,10GS,-7.14
fda_1850,10GS,-7.0
