stage,ligand,score,valid,reason,heavy_atoms,le,self_rmsd,pains_flag
stage1,rdk_0000664.pdbqt,-7.09,1,,22,0.3222,3.00,0
stage1,rdk_0002107.pdbqt,-8.25,1,,31,0.2660,,0
stage1,rdk_0001876.pdbqt,-8.66,1,,28,0.3093,,0
stage1,rdk_0003279.pdbqt,-7.50,1,,22,0.3407,,0
stage1,rdk_0003431.pdbqt,-8.17,1,,28,0.2918,,0
stage1,rdk_0000123.pdbqt,-8.14,1,,20,0.4072,,0
stage1,rdk_0000367.pdbqt,-6.36,1,,20,0.3182,,0
stage1,rdk_0004659.pdbqt,-7.43,1,,14,0.5310,,0
stage1,rdk_0004571.pdbqt,-4.90,1,,16,0.3061,,0
stage1,rdk_0000062.pdbqt,-7.08,1,,24,0.2952,2.52,0
stage1,rdk_0004356.pdbqt,-7.37,1,,25,0.2947,,0
stage1,rdk_0000420.pdbqt,-6.87,1,,20,0.3437,,0
stage1,rdk_0003616.pdbqt,-7.94,1,,23,0.3453,,0
stage1,rdk_0001382.pdbqt,-5.32,1,,12,0.4437,,0
stage1,rdk_0003581.pdbqt,-7.14,1,,25,0.2857,2.68,0
stage1,rdk_0004011.pdbqt,-6.08,1,,10,0.6079,,0
stage1,rdk_0002762.pdbqt,-8.39,1,,21,0.3995,,0
stage1,rdk_0002126.pdbqt,-7.62,1,,27,0.2820,,0
stage1,rdk_0002145.pdbqt,-10.15,1,,22,0.4615,,0
stage1,rdk_0003387.pdbqt,-7.96,1,,24,0.3315,2.30,0
stage1,rdk_0001310.pdbqt,-7.51,1,,24,0.3129,,0
stage1,rdk_0002290.pdbqt,-9.77,1,,28,0.3489,,0
stage1,rdk_0004872.pdbqt,-7.31,1,,32,0.2285,,0
stage1,rdk_0000990.pdbqt,-6.50,1,,13,0.4996,,0
stage1,rdk_0003319.pdbqt,-7.77,1,,17,0.4568,,0
stage1,rdk_0003882.pdbqt,-8.69,1,,32,0.2716,,0
stage1,rdk_0000796.pdbqt,-5.07,1,,14,0.3620,,0
stage1,rdk_0004377.pdbqt,-9.04,1,,26,0.3479,,0
stage1,rdk_0001984.pdbqt,-4.31,1,,10,0.4307,2.04,0
stage1,rdk_0002804.pdbqt,-8.78,1,,24,0.3659,,0
stage1,rdk_0001373.pdbqt,-7.02,1,,25,0.2808,,0
stage1,rdk_0002261.pdbqt,-7.82,1,,26,0.3008,,0
stage1,rdk_0004735.pdbqt,-5.20,1,,12,0.4330,,0
stage1,rdk_0003913.pdbqt,-6.37,1,,16,0.3984,2.46,0
stage1,rdk_0001979.pdbqt,-5.09,1,,16,0.3181,,0
stage1,rdk_0002202.pdbqt,-7.36,1,,30,0.2454,,0
stage1,rdk_0001213.pdbqt,-6.74,1,,15,0.4493,,0
stage1,rdk_0001251.pdbqt,-7.60,1,,23,0.3303,2.00,0
stage1,rdk_0002545.pdbqt,-6.33,1,,12,0.5279,,0
stage1,rdk_0002867.pdbqt,-5.60,1,,15,0.3735,,0
stage1,rdk_0004933.pdbqt,-7.21,1,,22,0.3276,,0
stage1,rdk_0002046.pdbqt,-6.46,1,,16,0.4041,,0
stage1,rdk_0000767.pdbqt,-6.85,1,,26,0.2634,2.52,0
stage1,rdk_0001975.pdbqt,-8.12,1,,22,0.3690,2.24,0
stage1,rdk_0002661.pdbqt,-3.96,1,,8,0.4954,,0
stage1,rdk_0000843.pdbqt,-6.08,1,,22,0.2764,,0
stage1,rdk_0000245.pdbqt,-7.38,1,,29,0.2543,,0
stage1,rdk_0003132.pdbqt,-7.96,1,,31,0.2567,,0
stage1,rdk_0003482.pdbqt,-6.61,1,,36,0.1835,,0
stage1,rdk_0004483.pdbqt,-5.59,1,,9,0.6209,,0
stage1,rdk_0004236.pdbqt,-8.12,1,,19,0.4272,2.02,0
stage1,rdk_0002404.pdbqt,-10.93,1,,29,0.3769,2.35,0
stage1,rdk_0004180.pdbqt,-6.56,1,,13,0.5048,,0
stage1,rdk_0003052.pdbqt,-8.49,1,,23,0.3691,,0
stage1,rdk_0000523.pdbqt,-8.35,1,,23,0.3632,,0
stage1,rdk_0004274.pdbqt,-8.85,1,,26,0.3405,,0
stage1,rdk_0001887.pdbqt,-6.46,1,,11,0.5875,,0
stage1,rdk_0002793.pdbqt,-10.40,1,,26,0.4000,,0
stage1,rdk_0002595.pdbqt,-8.09,1,,34,0.2379,,0
stage1,rdk_0000020.pdbqt,-5.20,1,,12,0.4329,,0
stage1,rdk_0004411.pdbqt,-9.41,1,,19,0.4955,,0
stage1,rdk_0002467.pdbqt,-5.10,1,,10,0.5097,,0
stage1,rdk_0002425.pdbqt,-7.91,1,,31,0.2551,,0
stage1,rdk_0001137.pdbqt,-9.09,1,,23,0.3950,2.01,0
stage1,rdk_0004655.pdbqt,-6.40,1,,19,0.3368,2.22,0
stage1,rdk_0000708.pdbqt,-6.09,1,,23,0.2650,,0
stage1,rdk_0004112.pdbqt,-7.53,1,,20,0.3765,,0
stage1,rdk_0002195.pdbqt,-8.41,1,,33,0.2547,,0
stage1,rdk_0003315.pdbqt,-7.26,1,,22,0.3298,,0
stage1,rdk_0004335.pdbqt,-9.02,1,,26,0.3468,2.49,0
stage1,rdk_0001434.pdbqt,-7.06,1,,23,0.3068,,0
stage1,rdk_0000396.pdbqt,-7.79,1,,27,0.2887,,0
stage1,rdk_0004083.pdbqt,-6.45,1,,22,0.2930,2.16,0
stage1,rdk_0003284.pdbqt,-8.59,1,,34,0.2526,2.20,0
stage1,rdk_0001537.pdbqt,-6.64,1,,26,0.2556,,0
stage1,rdk_0000140.pdbqt,-7.74,1,,29,0.2670,2.37,0
stage1,rdk_0001937.pdbqt,-7.82,1,,21,0.3723,,0
stage1,rdk_0002362.pdbqt,-7.21,1,,27,0.2669,,0
stage1,rdk_0000607.pdbqt,-6.49,1,,17,0.3818,,0
stage1,rdk_0002301.pdbqt,-8.66,1,,36,0.2407,,0
stage1,rdk_0004617.pdbqt,-4.63,1,,11,0.4213,,0
stage1,rdk_0002999.pdbqt,-8.77,1,,26,0.3372,2.28,0
stage1,rdk_0003151.pdbqt,-8.48,1,,18,0.4712,,0
stage1,rdk_0001988.pdbqt,-6.94,1,,28,0.2480,2.81,0
stage1,rdk_0002164.pdbqt,-7.34,1,,16,0.4586,,0
stage1,rdk_0003932.pdbqt,-6.83,1,,26,0.2627,2.97,0
stage1,rdk_0004636.pdbqt,-6.97,1,,28,0.2491,,0
stage1,rdk_0001954.pdbqt,-7.96,1,,25,0.3184,2.59,0
stage1,rdk_0001281.pdbqt,-5.97,1,,16,0.3729,,0
stage1,rdk_0004030.pdbqt,-5.88,1,,12,0.4897,,0
stage1,rdk_0004533.pdbqt,-8.32,1,,23,0.3617,,0
stage1,rdk_0002320.pdbqt,-8.94,1,,37,0.2416,2.33,0
stage1,rdk_0003275.pdbqt,-8.65,1,,19,0.4551,2.00,0
stage1,rdk_0002223.pdbqt,-7.89,1,,33,0.2391,,0
stage1,rdk_0001958.pdbqt,-8.67,1,,23,0.3769,,0
stage1,rdk_0003951.pdbqt,-5.77,1,,12,0.4809,,0
stage1,rdk_0001087.pdbqt,-7.12,1,,15,0.4746,,0
stage1,rdk_0003719.pdbqt,-7.80,1,,21,0.3717,2.14,0
stage1,rdk_0004830.pdbqt,-8.85,1,,31,0.2855,2.16,0
stage1,rdk_0001331.pdbqt,-7.27,1,,19,0.3828,,0
stage1,rdk_0002429.pdbqt,-5.88,1,,22,0.2672,,0
stage1,rdk_0000043.pdbqt,-8.45,1,,35,0.2413,2.68,0
stage1,rdk_0002995.pdbqt,-9.10,1,,33,0.2758,3.55,0
stage1,rdk_0003073.pdbqt,-5.41,1,,13,0.4160,,0
stage1,rdk_0003734.pdbqt,-11.07,1,,31,0.3571,5.32,0
stage1,rdk_0001184.pdbqt,-4.30,1,,10,0.4302,,0
stage1,rdk_0001487.pdbqt,-6.75,1,,17,0.3973,,0
stage1,rdk_0003688.pdbqt,-8.29,1,,23,0.3605,3.95,0
stage1,rdk_0002408.pdbqt,-7.77,1,,17,0.4569,,0
stage1,rdk_0003288.pdbqt,-7.64,1,,26,0.2938,2.12,0
stage1,rdk_0000725.pdbqt,-7.15,1,,21,0.3405,,0
stage1,rdk_0001579.pdbqt,-6.52,1,,17,0.3838,,0
stage1,rdk_0001584.pdbqt,-9.84,1,,22,0.4475,,0
stage1,rdk_0004786.pdbqt,-8.05,1,,13,0.6193,,0
stage1,rdk_0001179.pdbqt,-7.58,1,,14,0.5413,,0
stage1,rdk_0003684.pdbqt,-10.31,1,,29,0.3554,3.67,0
stage1,rdk_0002067.pdbqt,-7.69,1,,18,0.4274,,0
stage1,rdk_0000264.pdbqt,-8.35,1,,41,0.2036,,0
stage1,rdk_0000102.pdbqt,-7.18,1,,23,0.3123,,0
stage1,rdk_0004278.pdbqt,-8.49,1,,25,0.3398,,0
stage1,rdk_0000295.pdbqt,-7.55,1,,30,0.2516,2.29,0
stage1,rdk_0000902.pdbqt,-7.54,1,,31,0.2432,,0
stage1,rdk_0002568.pdbqt,-6.59,1,,26,0.2536,2.69,0
stage1,rdk_0001438.pdbqt,-7.59,1,,28,0.2710,2.17,0
stage1,rdk_0001516.pdbqt,-9.29,1,,24,0.3870,2.03,0
stage1,rdk_0003679.pdbqt,-8.76,1,,31,0.2826,3.47,0
stage1,rdk_0001632.pdbqt,-5.52,1,,20,0.2760,2.67,0
stage1,rdk_0002199.pdbqt,-7.60,1,,30,0.2532,,0
stage1,rdk_0000207.pdbqt,-7.79,1,,36,0.2165,,0
stage1,rdk_0003873.pdbqt,-7.26,1,,34,0.2135,,0
stage1,rdk_0003031.pdbqt,-8.41,1,,32,0.2628,,0
stage1,rdk_0000590.pdbqt,-8.56,1,,22,0.3892,,0
stage1,rdk_0001681.pdbqt,-8.19,1,,30,0.2730,,0
stage1,rdk_0002743.pdbqt,-8.90,1,,22,0.4047,,0
stage1,rdk_0003787.pdbqt,-11.49,1,,37,0.3107,3.19,0
stage1,rdk_0000001.pdbqt,-7.63,1,,26,0.2934,,0
stage1,rdk_0004883.pdbqt,-7.67,1,,30,0.2558,,0
stage1,rdk_0002025.pdbqt,-7.73,1,,33,0.2342,2.22,0
stage1,rdk_0002240.pdbqt,-7.95,1,,31,0.2563,,0
stage1,rdk_0004108.pdbqt,-5.36,1,,11,0.4868,,0
stage1,rdk_0000893.pdbqt,-8.71,1,,41,0.2125,,0
stage1,rdk_0000443.pdbqt,-9.48,1,,38,0.2495,,0
stage1,rdk_0002446.pdbqt,-7.73,1,,25,0.3093,2.56,0
stage1,rdk_0002343.pdbqt,-8.02,1,,24,0.3341,,0
stage1,rdk_0000304.pdbqt,-6.33,1,,28,0.2260,,0
stage1,rdk_0001015.pdbqt,-7.67,1,,30,0.2556,2.12,0
stage1,rdk_0003757.pdbqt,-7.75,1,,23,0.3369,,0
stage1,rdk_0002640.pdbqt,-5.26,1,,12,0.4382,,0
stage1,rdk_0002983.pdbqt,-4.74,1,,10,0.4743,,0
stage1,rdk_0003473.pdbqt,-8.67,1,,29,0.2990,,0
stage1,rdk_0001116.pdbqt,-5.44,1,,12,0.4537,,0
stage1,rdk_0002964.pdbqt,-10.53,1,,30,0.3509,2.86,0
stage1,rdk_0002385.pdbqt,-8.44,1,,23,0.3668,,0
stage1,rdk_0001158.pdbqt,-6.60,1,,26,0.2538,2.66,0
stage1,rdk_0003448.pdbqt,-2.48,1,,4,0.6188,,0
stage1,rdk_0000055.pdbqt,-5.29,1,,12,0.4408,,0
stage1,rdk_0000093.pdbqt,-7.49,1,,21,0.3567,,0
stage1,rdk_0002926.pdbqt,-8.03,1,,35,0.2293,2.29,0
stage1,rdk_0001415.pdbqt,-8.51,1,,24,0.3545,,0
stage1,rdk_0002008.pdbqt,-8.23,1,,24,0.3430,,0
stage1,rdk_0003427.pdbqt,-7.64,1,,15,0.5097,,0
stage1,rdk_0001916.pdbqt,-7.79,1,,30,0.2598,2.12,0
stage1,rdk_0002686.pdbqt,-6.52,1,,16,0.4073,,0
stage1,rdk_0003654.pdbqt,-8.14,1,,30,0.2714,,0
stage1,rdk_0004714.pdbqt,-8.54,1,,20,0.4269,,0
stage1,rdk_0003806.pdbqt,-7.86,1,,19,0.4135,,0
stage1,rdk_0000820.pdbqt,-8.53,1,,29,0.2941,2.72,0
stage1,rdk_0001613.pdbqt,-7.99,1,,25,0.3198,,0
stage1,rdk_0002945.pdbqt,-7.51,1,,21,0.3579,,0
stage1,rdk_0000668.pdbqt,-8.76,1,,36,0.2433,,0
stage1,rdk_0002614.pdbqt,-3.71,1,,7,0.5301,,0
stage1,rdk_0003200.pdbqt,-5.66,1,,16,0.3539,,0
stage1,rdk_0004845.pdbqt,-7.49,1,,16,0.4682,,0
stage1,rdk_0001142.pdbqt,-7.08,1,,20,0.3542,,0
stage1,rdk_0002378.pdbqt,-6.57,1,,20,0.3286,,0
stage1,rdk_0000401.pdbqt,-7.77,1,,29,0.2679,2.17,0
stage1,rdk_0004243.pdbqt,-5.85,1,,12,0.4875,,0
stage1,rdk_0004217.pdbqt,-8.38,1,,29,0.2890,,0
stage1,rdk_0001860.pdbqt,-6.86,1,,21,0.3267,,0
stage1,rdk_0000672.pdbqt,-5.37,1,,20,0.2683,2.46,0
stage1,rdk_0001441.pdbqt,-6.46,1,,20,0.3232,,0
stage1,rdk_0002530.pdbqt,-6.47,1,,17,0.3808,,0
stage1,rdk_0003852.pdbqt,-8.22,1,,31,0.2651,,0
stage1,rdk_0001963.pdbqt,-7.80,1,,21,0.3713,,0
stage1,rdk_0000556.pdbqt,-9.57,1,,26,0.3680,,0
stage1,rdk_0001834.pdbqt,-8.31,1,,25,0.3325,2.07,0
stage1,rdk_0000918.pdbqt,-8.70,1,,21,0.4142,2.37,0
stage1,rdk_0000268.pdbqt,-6.45,1,,26,0.2479,2.00,0
stage1,rdk_0004643.pdbqt,-7.30,1,,18,0.4056,,0
stage1,rdk_0003452.pdbqt,-6.93,1,,28,0.2475,2.56,0
stage1,rdk_0002812.pdbqt,-5.31,1,,10,0.5307,,0
stage1,rdk_0000649.pdbqt,-7.36,1,,24,0.3068,2.83,0
stage1,rdk_0000493.pdbqt,-7.68,1,,30,0.2562,2.62,0
stage1,rdk_0003869.pdbqt,-7.21,1,,33,0.2184,,0
stage1,rdk_0001773.pdbqt,-7.09,1,,31,0.2289,,0
stage1,rdk_0004430.pdbqt,-8.84,1,,25,0.3537,2.11,0
stage1,rdk_0002846.pdbqt,-9.37,1,,36,0.2603,,0
stage1,rdk_0004740.pdbqt,-9.37,1,,23,0.4073,,0
stage1,rdk_0002130.pdbqt,-7.01,1,,17,0.4124,,0
stage1,rdk_0000190.pdbqt,-8.31,1,,32,0.2597,2.24,0
stage1,rdk_0003703.pdbqt,-7.30,1,,22,0.3317,2.02,0
stage1,rdk_0001398.pdbqt,-7.09,1,,21,0.3375,,0
stage1,rdk_0003894.pdbqt,-8.06,1,,22,0.3665,,0
stage1,rdk_0001666.pdbqt,-6.29,1,,20,0.3145,2.04,0
stage1,rdk_0000539.pdbqt,-9.49,1,,28,0.3389,,0
stage1,rdk_0000455.pdbqt,-8.29,1,,24,0.3454,,0
