rank	severity	rule_id	pdb	ligand	message	count	recency	file	sample	hint	step	paths
1	hard	ligprep.rdkit_valence	2025		RDKit sanitize/valence/kekulize error(s)	9		logs/bench_20251010_131013.log	[13:11:51] Explicit valence for atom # 10 O, 3, is greater than permitted	Quarantine; consider pre-sanitize with RDKit, fix aromaticity, add hydrogens earlier.	ligprep.sanitize	/stor/home/mpg2352/atlas/code/protein_automation/logs/bench_20251010_131013.log
2	hard	ligprep.mgl_partial_write	2025	CDL_N605.sanitized	Partial write during conversion	1		logs/bench_20251010_131013.log	WARNING: 70 atoms of 80 in CDL_N605.sanitized.mol2  were not written	Conversion partial; capture stderr, retry fallback, then quarantine if persistent.	ligprep.write_mol2	
3	soft	ligprep.obabel_h_charge	6ADQ		OpenBabel H/charge warning(s)	8		logs/bench_20251010_131013.log	[13:12:05] /stor/home/mpg2352/atlas/code/protein_automation/processed_pdbs/6ADQ/ligands_raw/MQ9_B608.sanitized.pdb: Warning - no explicit hydrogens in mol2 file but needed for formal charge estimation.	Run Reduce/OpenBabel addH; if Reduce already ran, try -nohyd branch then addH fallback.	ligprep.add_h	
